Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,,,DBB020,Лоток прикромочный,,Тр ТС 014/2011,,,,,,,
,,DBC,,,,,Блоки упора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,23.61.12.154.05.1.01.10-0052,,,,
,,DBD,,,,,Элементы конструкций сопряжения,,,,,,,,,
,,,DBDA,,,,Плиты переходные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,23.61.12.151.05.1.01.01-1000 23.61.12.151.05.1.01.01-1002,,,,
,DC,,,,,,Изделия для технического регулирования,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"01.5.03
",,,,
,,DCA,,,,,Блок разделительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.03.01,,,,
,,DCB,,,,,Делиниатор,"Сплошной направляющий элемент, применяемый вместо направляющих пластин для усиления направляющего и ограждающего воздействия на участках изменения траектории движения транспортных средств и разделения транспортных потоков","ОДМ 218.6.019-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.5.03.02,,,Определение синтезировано,
,,DCC,,,,,Знак дорожный,"Техническое средство организации движения с обозначениями и/или надписями, информирующими участников дорожного движения о дорожных условиях и режимах движения, расположении населенных пунктов и других объектах","ГОСТ Р 52289-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Тр ТС 014/2011",,,"01.5.03.03
01.5.03.05",,,,
,,DCD,,,,,Столбик сигнальный дорожный,"Направляющее устройство, предназначенное для указания направления дороги и границ земляного полотна, а также для разделения транспортных потоков","ГОСТ 32843-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Тр ТС 014/2011",,,01.5.03.06,,,,
,,DCE,,,,,Искусственная неровность,"Специально устроенное возвышение на проезжей части для принудительного снижения скорости движения, расположенное перпендикулярно к оси дороги","ГОСТ Р 52605-2006
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Тр ТС 014/2011",,,01.5.03.07,,,,
,,DCF,,,,,Элементы светоотражающие,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ТР ТС 014/2011",,,01.5.03.08,,,,
,,DCG,,,,,Светофор,"Светосигнальное устройство, применяемое для регулирования очередности пропуска транспортных средств и пешеходов","ГОСТ 33385-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ТР ТС 014/2011",,,01.5.03.09,,,,
,,DCH,,,,,Элементы противоослепляющие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.5.03.11,,,,
,,DCJ,,,,,Знак переменной информации,"Техническое средство организации дорожного движения, предназначенное для отображения дорожных знаков, за исключением знаков индивидуального проектирования",ГОСТ 32865-2014,,,,,,,
,,DCK,,,,,Дорожная тумба,"Элемент обустройства автомобильной дороги, относящийся к направляющим устройствам и применяющийся совместно с другими техническими средствами организации дорожного движения",ГОСТ 32759-2014,,,,,,,
D,,DCL,,,,,Дорожная видеокамера,,СТО АВТОДОР 8.6-2016,,,,,,,
D,,DCM,,,,,Дорожная метеостанция,,СТО АВТОДОР 8.6-2016,,,,,,,
,DD,,,,,,Ленты стыковочные битумно-полимерные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.06.09,,,,
,DE,,,,,,Элементы лестничных сходов,,ГОСТ Р 59432-2021,,,,,,,
,,DEA,,,,,Косоуры лестничных сходов,,"ГЭСН 81-02-30-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 30 16 38,,,
,,DEB,,,,,Площадка лестничных сходов,,"ГЭСН 81-02-30-2020
ГОСТ Р 70313-2022",,,,,,,
,,DED,,,,,Опорная плита лестничного схода,,ГЭСН 81-02-30-2020,,,,,,,
,,DEE,,,,,Ступени лестничных сходов,,"ГЭСН 81-02-30-2020
ГОСТ Р 59432-2021",,,,,,,
,,DEF,,,,,Марши лестничных сходов,,ГОСТ Р 59432-2021,,,,,,,
,,DEG,,,,,Поручни лестничных сходов,,ГОСТ Р 59432-2021,,,,,,,
,,DEH,,,,,Перила (ограждения) лестничных сходов,,ГОСТ Р 59432-2021,,,,,,,
,DF,,,,,,Опора дорожных знаков,Устройство (конструкция) для установки дорожного знака в определенном положении по отношению к проезжей части дороги,"ГОСТ 32846-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Тр ТС 014/2011",,,23.61.12.190.05.1.02.05-0031,,,,
,DG,,,,,,Ограждения и дополнительные сооружения автомобильных дорог,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 30 12,,,
,,DGA,,,,,Шумозащитный экран,Протяженная естественная преграда или искусственное шумозащитное сооружение на пути распространения шума от транспортного потока к защищаемому от шума объекту,"СП 276.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 32957-2014 
ГОСТ 33329-2015",По принципу действия,акустический экран,,ЭЛ 30 12 55,,,
,,,,,,DGA010,Экран отражающий,"Шумозащитный экран, от которого звуковая энергия отражается в противоположную от защищаемого объекта сторону","СП 276.1325800.2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 32957-2014 
ГОСТ 33329-2015",,,01.5.02.05,,,Определение синтезировано,
,,,,,,DGA030,Экран отражающе-поглощающий,"Шумозащитный экран, который в результате поглощения части звуковой энергии способствует уменьшению уровней звука в застройке на противоположной стороне дороги и в салонах проезжающих автомобилей","СП 276.1325800.2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 32957-2014 
ГОСТ 33329-2015",,,01.5.02.07,,,Определение синтезировано,
,,DGB,,,,,Ограждение дорожное,"Устройство, предназначенное для обеспечения движения транспорта с наименьшими рисками столкновений и съездов с дорог, предотвращения переезда через разделительную полосу, столкновения со встречным транспортным средством, наезда на массивные препятствия и сооружения, расположенные на обочине в полосе отвода дороги, на разделительной полосе, снижения риска возможности падения пешеходов с дороги или мостового сооружения, а также для упорядочения движения пешеходов и предотвращения выхода животных на проезжую часть","ГОСТ 32846-2014
ГОСТ 33127-2014
ГОСТ 33128-2014",,,,,,,
,,,,,,DGB010,Ограждение тросовое,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 33128-2014
ГОСТ 33127-2014",,,01.5.02.10,,,,
,,,,,,DGB020,Ограждение барьерное,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 33127-2014
ГОСТ 33128-2014",,,01.5.02.02,,,,
,,DGC,,,,,Колесоотбойник,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 30 12 40,,,
D,DG,DGD,,,,,Комплектующие акустических экранов,,"СП 276.1325800.2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 32957-2014 ",,,01.5.02.08,,,,
D,DG,,,,,DGD010,Стойка акустического экрана,,СП 276.1325800.2016,,,,,,,
D,DG,,,,,DGD020,Акустическая панель экрана,,СП 276.1325800.2016,,,,,,,
D,DG,,,,,DGD030,Светопрозрачная панель экрана,,СП 276.1325800.2016,,,,,,,
D,DG,,,,,DGD040,Фундамент акустического экрана с ростверком,,СП 276.1325800.2016,,,,,,,
D,DG,,,,,DGD050,Опорная пластина (подпятник) экрана,,СП 276.1325800.2016,,,,,,,
D,DG,,,,,DGD060,Фасонный элемент экрана,,СП 276.1325800.2016,,,,,,,
,,DGE,,,,,Заграждение дорожное,"Устройство для предотвращения въезда автотранспортных средств на проезжую часть дорог, мостов, путепроводов, а также остановки их перед железнодорожными переездами при запрещающих сигналах светофоров",ГОСТ 32846-2014,,,,,,,
,,DGF,,,,,Защитное сооружение,,,,,,,,,
,DH,,,,,,Изделия для земляного полотна,,,,,,,,,
,,DHA,,,,,Пенополистирольный дорожный блок (БД),"Промышленное изделие, изготовленное в блок-формах из вспененного полистирола с антипиреном в виде блоков, применяемое на автомобильных дорогах общего пользования при устройстве облегченных и комбинированных насыпей и сооружений на слабых грунтах, а также при возведении подпорных стен и искусственных сооружений","ГОСТ Р 59171-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"22.23.19.000.01.7.14.07-1016
22.23.19.000.01.7.14.07-1017
22.23.19.000.01.7.14.07-1018
22.23.19.000.01.7.14.07-1019
22.23.19.000.01.7.14.07-1020",,,,
,,DHB,,,,,Геоконтейнер,,ГОСТ Р 59433-2021,,,,,,,
,,DHC,,,,,Геооболочка,"Емкость из геосинтетического материала для заполнения грунтом или другими строительными материалами, создающая замкнутый объем",ГОСТ Р 55028-2012,,,,,,,
,,DHD,,,,,Элементы вертикальных стен,,,,,,,,,
E,,,,,,,Изделия для благоустройства и оснащения,,,По виду благоустройства и оснащения,,,,,,
,EA,,,,,,Защита грунтов от эрозии,,,,,,,,,
,,EAA,,,,,Конструкции габионные,"Объемные сетчатые конструкции различной формы из проволочной крученой с шестиугольными ячейками сетки, заполненные камнем, применяемые для защиты грунтов от эрозии","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 52132-2003",,,"08.1.01
",ЭЛ 10 20 50,,,
,,,EAAA,,,,Конструкции габионные коробчатые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.01.01,,,,
,,,EAAB,,,,Матрацы габионные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.01.02,,,,
,,,EAAC,,,,Панели защитные габионные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.01.03,,,,
,,,EAAD,,,,Сетка проволочная крученная с шестиугольными ячейками для габионных конструкций,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.93.13.112.08.1.02.17-0021,,,,
,,,EAAE,,,,Конструкции габионные коробчатые с армирующей панелью,,ГОСТ Р 52132-2003,,,,,,,
,,,EAAF,,,,Конструкции габионные цилиндрические,,ГОСТ Р 52132-2003,,,,,,,
,,EAB,,,,,Блоки виброцементные для укрепления откосов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.02.05,,,,
,,EAC,,,,,Оттяжки анкерные тросовой обвязки для укрепления грунтов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.02.08,,,,
,,EAD,,,,,Плиты бетонные защитные гибкие универсальные для укрепления грунтов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.04.02,,,,
,,,EADA,,,,Маты бетонные защитные гибкие универсальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.04.08,,,,
,,EAE,,,,,Геоматы трехмерные,,,,,,,,,
,,EAF,,,,,Геоматы полимерные,,,,,,,,,
,,EAG,,,,,Сваи-шпунтовые,,"ГОСТ Р 53629-2009 
ГОСТ Р 56354-2015",,,,"ЭЛ 10 20 20
ЭЛ 10 20 30",,,
,EB,,,,,,Элементы системы поверхностного водоотвода,,,,,,,,,
,,EBA,,,,,Элементы лотков поверхностного водоотвода,"Лоток (водоотводной, сточный): Сборная или монолитная конструкция, состоящая из конструктивных элементов, предназначенная для приема поверхностной воды по всей своей длине и направления ее далее в сток.
",ГОСТ 32955-2014,,,"05.2.02.25-0002
05.2.02.25-0004
05.2.02.25-0008
05.2.02.25-0010
05.2.02.25-0012
05.2.02.25-0014
05.2.02.25-0016",,,,
,,,,,,EBA010,Заглушки для лотков,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 32955-2014",,,,ЭЛ 40 15 20 20,,,
,,,,,,EBA020,Пескоуловитель,"Бетонная камера различной глубины, предназначенная для сбора песка и дру-гих твердых остатков, а также для под-соединения к системам ливневых сто-ков, имеющая те же конструктивные особенности, что и подсоединяемые к ней линейки лотков","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 32955-2014",,,"05.2.02.25-0102
05.2.02.25-0104
05.2.02.25-0106
05.2.02.25-0108
05.2.02.25-0110
05.2.02.25-0112
05.2.02.25-0114
05.2.02.25-0116
 05.2.02.25-0118
05.2.02.25-0120
05.2.02.25-0122
05.2.02.25-0124
05.2.02.25-0126
05.2.02.25-0128
05.2.02.25-0130
05.2.02.25-0132
05.2.02.25-0134
05.2.02.25-0136
05.2.02.25-0138
05.2.02.25-0140
05.2.02.25-0142
05.2.02.25-0144
05.2.02.25-0146
05.2.02.25-0148",,,,
,,,,,,EBA030,Решетка для водоотводного канала,"решетка ливнесточная -съемная часть коробчатого лотка, устанавливаемая в конструкцию лотка (ливнесточного ко-лодца) для пропуска в него воды","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 32955-2014",,,08.1.02.15,"ЭЛ 40 15 20 52
ЭЛ 40 40 20 20",,,
E,EB,,,,,EBA040,Решетка бетонная для водоотводного лотка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,," 05.2.02.25-0302
 05.2.02.25-0304
 05.2.02.25-0306
 05.2.02.25-0308
 05.2.02.25-0310
 05.2.02.25-0312",,,,
,,,,,,EBA050,Решетка щелевая для лотков,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.08.01-0076
59.1.08.01-0077
59.1.08.01-0078
59.1.08.01-0079
59.1.08.01-0080
59.1.08.01-0081
59.1.08.01-0082
59.1.08.01-0083
59.1.08.01-0084
59.1.08.01-0085
59.1.08.01-0086
59.1.08.01-0087
59.1.08.01-0088
59.1.08.01-0089
59.1.08.01-0090
59.1.08.01-0091
59.1.08.01-0092
59.1.08.01-0093
59.1.08.01-0094
59.1.08.01-0095
59.1.08.01-0096
59.1.08.01-0097
59.1.08.01-0098
59.1.08.01-0099
59.1.08.01-0100
59.1.08.01-0101
59.1.08.01-0102
59.1.08.01-0103
59.1.08.01-0104
59.1.08.01-0105
59.1.08.01-0106
59.1.08.01-0107
59.1.08.01-0108
59.1.08.01-0109
59.1.08.01-0110
59.1.08.01-0111
59.1.08.01-0112
59.1.08.01-0113
59.1.08.01-0114
59.1.08.01-0115
",,,,
,,EBB,,,,,Переходной мостик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.11.23.119.07.5.01.02-0051,,,,
,EC,,,,,,Барьеры и сетки специальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"01.7.01
",,,,
,,ECA,,,,,Барьеры камнеулавливающие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.01.01,,,,
,,ECB,,,,,Барьеры снегозадерживающие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.01.02,,,,
,,ECC,,,,,Сетки противокамнепадные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.01.03,,,,
,,ECD,,,,,Барьер селеудерживающий,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"9.1.01.07-0007
9.1.01.07-0008
9.1.01.07-0009",,,,
,ED,,,,,,Малые архитектурные формы и переносные изделия,,,,,,,,,
,,EDA,,,,,Оборудование для спортивных площадок,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 62,,,
,,,EDAA,,,,Брусья,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.02,,,,
,,,EDAB,,,,Ворота хоккейные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.01.03,,,,
,,,,,,EDAB010,Ворота для хоккея на льду,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0078
59.1.15.01-0089
59.1.15.01-0090
59.1.15.01-0091
59.1.15.01-0092
59.1.15.01-0093",,,,
,,,,,,EDAB020,Ворота для хоккея на траве,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0079
59.1.15.01-0080
59.1.15.01-0081
59.1.15.01-0082
59.1.15.01-0083
59.1.15.01-0084",,,,
,,,,,,EDAB030,Ворота для хоккея с мячом на льду,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0085
59.1.15.01-0086
59.1.15.01-0087
59.1.15.01-0088",,,,
,,,EDAC,,,,Ворота футбольные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.01.04,,,,
,,,,,,EDAC010,Ворота для мини-футбола,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0094
59.1.15.01-0095",,,,
,,,,,,EDAC020,Ворота гандбольные,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,59.1.15.01-0096,,,,
,,,,,,EDAC030, Ворота для мини-футбола и гандбола,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0097
59.1.15.01-0098
59.1.15.01-0099
59.1.15.01-0100
59.1.15.01-0101
59.1.15.01-0102
59.1.15.01-0103
59.1.15.01-0104
59.1.15.01-0105",,,,
,,,EDAD,,,,Вышка для судьи,,,,,,,,,
,,,EDAE,,,,Комплексы спортивные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.10,,,,
,,,EDAF,,,,Разновысокие перекладины,,,,,,,,,
,,,EDAG,,,,Стойка баскетбольная ,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0001
59.1.15.01-0002
59.1.15.01-0003
59.1.15.01-0004
59.1.15.01-0005
59.1.15.01-0006
59.1.15.01-0007
59.1.15.01-0008
59.1.15.01-0009
59.1.15.01-0010
59.1.15.01-0011
59.1.15.01-0012
59.1.15.01-0013
59.1.15.01-0014
59.1.15.01-0015
59.1.15.01-0016
59.1.15.01-0017
59.1.15.01-0018
59.1.15.01-0019
59.1.15.01-0020
59.1.15.01-0021
59.1.15.01-0022
59.1.15.01-0023
59.1.15.01-0024
59.1.15.01-0025
59.1.15.01-0026
59.1.15.01-0027
59.1.15.01-0028
59.1.15.01-0029
59.1.15.01-0030
59.1.15.01-0031
59.1.15.01-0032
59.1.15.01-0033
59.1.15.01-0034
59.1.15.01-0035
59.1.15.01-0036
59.1.15.01-0037
59.1.15.01-0038
59.1.15.01-0039
59.1.15.01-0040
59.1.15.01-0041
59.1.15.01-0042
59.1.15.01-0043
59.1.15.01-0044
59.1.15.01-0045
59.1.15.01-0046
",,,,
,,,EDAH,,,,Стойка волейбольная с сеткой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"32.30.15.110.15.1.01.02-1000
32.30.15.110.15.1.01.02-1002
32.30.15.110.15.1.01.02-1004
32.30.15.110.15.1.01.02-1006
32.30.15.110.15.1.01.02-1008
32.30.15.110.15.1.01.02-1010
32.30.15.110.15.1.01.02-1012
32.30.15.110.15.1.01.02-1014
32.30.15.110.15.1.01.02-1016
32.30.15.110.15.1.01.02-1018
32.30.15.110.15.1.01.02-1020
32.30.15.110.15.1.01.02-1021",,,,
,,,EDAJ,,,,Стойка гимнастическая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"32.30.15.239.15.1.02.10-1069
32.30.15.239.15.1.02.10-1146
32.30.15.239.15.1.02.10-1147",,,,
,,,EDAK,,,,Стол для настольного тенниса,,,,,,,,,
,,,EDAL,,,,Трибуна для зрителей,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"31.01.11.150.15.1.02.27-1014
31.01.11.150.15.1.02.27-1016
31.01.11.150.15.1.02.27-1018
31.01.11.150.15.1.02.27-1020",ЭЛ 40 62 10 14,,,
,,,EDAM,,,,Турник - шведская стенка,,,,,,,,,
,,,EDAN,,,,Уличные тренажеры,,,,,,,,,
,,EDB,,,,,Детское игровое оборудование,,,,,,,,,
,,,,,,EDB010,Беседка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.01,,,,
,,,,,,EDB020,Бум-бревно,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.03,,,,
,,,,,,EDB030,Горка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.04,,,,
,,,,,,EDB040,Домик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.05,,,,
,,,,,,EDB050,Карусель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.06,,,,
,,,,,,EDB060,Качалка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.07,,,,
,,,,,,EDB070,Качели,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.08,,,,
,,,,,,EDB080,Комплекс игровой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.09,,,,
,,,,,,EDB090,Корабль,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.11,,,,
,,,,,,EDB100,Крепость,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.13,,,,
,,,,,,EDB110,Лабиринт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.14,,,,
,,,,,,EDB120,Лаз,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.15,,,,
,,,,,,EDB130,Лестница (детская),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.16,,,,
,,,,,,EDB140,Мишень,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.17,,,,
,,,,,,EDB150,Мостик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.18,,,,
,,,,,,EDB160,Мостик веревочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.19,,,,
,,,,,,EDB170,Объемные элементы создания игровых макетов,,,,,,,,,
,,,,,,EDB180,Песочница,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.21,,,,
,,,,,,EDB190,Песочный столик,,,,,,,,,
,,,,,,EDB200,Пирамида для лазания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,32.30.15.239.15.1.02.27-1027,,,,
,,,,,,EDB210,Подъем-сходни,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.22,,,,
,,,,,,EDB220,Скалолазы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.25,,,,
,,,,,,EDB230,Скамья детская,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDB240,Стенка игровая,,,,,,,,,
,,,,,,EDB250,Стенка для лазания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,32.30.14.119.15.1.02.15-1118,,,,
,,,,,,EDB260,Стенка декоративная,,,,,,,,,
,,,,,,EDB270,Столик для игр,,,,,,,,,
,,,,,,EDB280,Теневой грибок,,,,,,,,,
,,,,,,EDB290,Тобогган,,,,,,,,,
,,,,,,EDB300,Тоннель для детской площадки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.1.02.26,,,,
,,,,,,EDB310,Установка для лазания,,,,,,,,,
,,,,,,EDB320,Устройство для пролезания и прокатывания мячей,,,,,,,,,
,,,,,,EDB330,Установка для игр с водой,,,,,,,,,
,,,,,,EDB340,Шалаш,,,,,,,,,
,,,,,,EDB350,Шар для лазания,,,,,,,,,
,,,,,,EDB360,Рукоход,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,"59.1.15.01-0864
59.1.15.01-0865
59.1.15.01-0866
59.1.15.01-0867
59.1.15.01-0868
59.1.15.01-0869
59.1.15.01-0870
59.1.15.01-0871
59.1.15.01-0872
59.1.15.01-0873
59.1.15.01-0874
59.1.15.01-0875
59.1.15.01-0876
59.1.15.01-0877
59.1.15.01-0878
59.1.15.01-0879
59.1.15.01-0880
59.1.15.01-0881
59.1.15.01-0882
",,,,
,,EDC,,,,,Оборудование хозяйственных площадок,,,,,,,,,
,,,,,,EDC010,Навес площадки для мусороконтейнеров,,,,,,,,,
,,,,,,EDC020,Ограждение площадки для мусороконтейнеров,,,,,,,,,
,,,,,,EDC030,Установка для чистки домашней одежды,,,,,,,,,
,,,,,,EDC040,Установка для сушки белья,,,,,,,,,
,,EDD,,,,,Городская мебель,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10,,,
,,,,,,EDD010,Вывеска информационная,,,,,,,,,
,,,,,,EDD020,Кресло уличное,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 16,,,
,,,,,,EDD030,Павильон для отдыха,,,,,,,,,
,,,,,,EDD040,Раздевалка пляжная,,,,,,,,,
,,,,,,EDD050,Рекламная тумба,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,15.2.01.06,,,,
,,,,,,EDD060,Садовый диван,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,15.2.03.02,ЭЛ 40 60 10 13,,,
,,,,,,EDD070,Скамья,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,15.2.03.04,ЭЛ 40 60 10 33,,,
,,,,,,EDD080,Cкамья без спинки,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD090,Скамья-качалка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,31.01.11.150.15.2.03.04-1094 31.01.11.150.15.2.03.04-1096,ЭЛ 40 60 10 33,,,
,,,,,,EDD100,Скамья на подвесах,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD110,Скамья-ограничитель,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD120,Скамья радиусная,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD130,Скамья с навесом,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
,,,,,,EDD140,Скамья со столом,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 40 60 10 33,,,
