Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,,,AEH020,Установка для приготовления битумной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.40.91.08.08-011
28.92.40.91.08.08-012",
,,,,AEH030,Установка для приготовления грунтовых смесей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.08-013,
,,,,AEH040,Установка для приготовления поверхностно-активных добавок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.08-014,
,,,,AEH050,Установка передвижные асфальтосмесительные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.08-015,
,,,,AEH060,"Смеситель бетона, полимеров и смол принудительного действия передвижной с двигателем внутреннего сгорания",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.08-500,
,,AEJ,,,Трамбовка,Машина ударного действия для уплотнения различных материалов.,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.09,Определение синтезировано
,,AEK,,,Виброплита,"Вибрационная машина для уплотнения грунтов и других материалов (щебня, укрепленных материалов и др.) в узких местах и на обочинах, при прокладке через дороги кабелей и трубопроводов.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.09-001
28.92.30.91.08.09-002",Определение синтезировано
,,AEL,,,"Фреза, установка фрезерования","Готовый к работе сборочный узел из ножей, барабана, средств крепления ножей, соответствующих винтов и шпинделя.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.10,ГОСТ IEC 62841-2-14-2016
,,,,AEL010,Регенератор-смеситель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-001,
,,,,AEL020,Станок для фрезерования поверхности,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-011,
,,,,AEL030,Фреза дорожная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-021,
,,,,AEL040,Фреза-ресайклер,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-031,
,,,,AEL050,Фреза навесная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.10-050
28.92.30.91.08.10-051
28.92.30.91.08.10-052",
,,,,AEL060,Фреза ручная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-508,
,,,,AEL070,Машина роторно-фрезеровальная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.10-500,
,,AEM,,,Завод асфальтобетонный с дистанционным управлением,"комплекс технологического, энергетического и вспомогательного оборудования, предназначенного для выполнения операций по приготовлению асфальтобетонных смесей.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.11-001,Определение синтезировано
,,AEN,,,Заливщик швов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.10.59.91.08.11-011,
