Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,ALEFD,,,Изделия периклазовые стопорные для разливки стали из ковша,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.04,,,
,,,,ALEFE,,,Изделия периклазовые и периклазохромитовые для сталевыпускного отверстия конвертеров и мартеновских печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.05,,,
,,,,ALEFF,,,Изделия периклазохромитовые для высокотемпературных туннельных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.06,,,
,,,,ALEFG,,,Изделия периклазохромитовые для кессонных мартеновских печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.07,,,
,,,,ALEFH,,,Изделия периклазохромитовые для сталеплавильных конвертеров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.08,,,
,,,,ALEFJ,,,Изделия периклазохромитовые для сталеплавильных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.09,,,
,,,,ALEFK,,,Изделия периклазохромитовые для футеровки установок внепечного вакуумирования,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.10,,,
,,,,ALEFL,,,Изделия форстеритовые и форстеритохромитовые для кладки регенераторов мартеновских печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.11,,,
,,,,ALEFM,,,Изделия хромитопериклазовые для кладки сводов печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.12,,,
,,,,ALEFN,,,Изделия хромитопериклазовые для конвертеров кислородной продувки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.13,,,
,,,,ALEFP,,,"Изделия хромитопериклазовые, периклазохромитовые, периклазошпинельные для футеровки вращающихся печей",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.14,,,
,,,,ALEFQ,,,Фурмы периклазовые для продувки металла газами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.15,,,
,,,ALEG,,,,"Изделия огнеупорные муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.05
",,,
,,,,ALEGA,,,Изделия бадделеитокорундовые для стекловаренных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.01,,,
,,,,ALEGB,,,Изделия бадделеитокорундовые повышенной чистоты для стекловаренных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.02,,,
,,,,ALEGC,,,Изделия корундовые высокоплотные для термопар,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.03,,,
,,,,ALEGD,,,Изделия корундовые для футеровки томильных зон нагревательных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.04,,,
,,,,ALEGE,,,Изделия корундовые легковесные теплоизоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.05,,,
,,,,ALEGF,,,Изделия корундоциркониевые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.06,,,
,,,,ALEGG,,,Изделия муллитовые для лещади доменных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.07,,,
,,,,ALEGH,,,Изделия муллитовые и муллитокорундовые для стабилизирующих камер газовых горелок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.08,,,
,,,,ALEGJ,,,Изделия муллитовые и муллитокремнеземистые для вращающихся печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.09,,,
,,,,ALEGK,,,Изделия муллитовые легковесные теплоизоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.10,,,
,,,,ALEGL,,,"Изделия муллитовые, муллитокорундовые и муллитокремнеземистые стопорные для разливки стали из ковша",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.11,,,
,,,,ALEGM,,,"Изделия муллитовые, муллитокорундовые и муллитокремнеземистые для шиберных затворов сталеразливочных ковшей",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.12,,,
,,,,ALEGN,,,Изделия муллитокорундовые для реакторов сажевого производства и печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.13,,,
,,,,ALEGP,,,"Изделия муллитокорундовые, муллитокремнеземистые для кладки воздухонагревателей и воздухопроводов горячего дутья доменных печей",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.14,,,
,,,,ALEGQ,,,Изделия муллитокремнеземистые легковесные теплоизоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.15,,,
,,,,ALEGR,,,"Изделия муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые для футеровки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.16,,,
,,,,ALEGS,,,"Изделия муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые для кладки воздухонагревателей",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.05.17,,,
,,,ALEH,,,,"Изделия огнеупорные углеродистые, в том числе угольные и графитированные",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.06
",,,
,,,,ALEHA,,,"Изделия графитошамотные, и шамотнографитовые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.06.01,,,
,,,,ALEHB,,,"Изделия муллитокорундографитовые, корундографитовые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.06.02,,,
,,,ALEJ,,,,Изделия цирконистые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.07
",,,
,,,,ALEJA,,,Изделия цирконистые для непрерывной разливки стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.07.01,,,
,,,,ALEJB,,,Изделия цирконовые для печей для плавки алюминия,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.07.02,,,
,,,,ALEJC,,,Изделия цирконовые для электропечей по производству кварцевого стекла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.07.03,,,
,,,ALEK,,,,"Кирпичи огнеупорные, кроме изделий из кремнеземистой каменной муки или диатомитовых земель",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.07.04,,,
,,,,ALEKA,,,Кирпич корундовый среднеплотный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.08
",,,
,,,,ALEKB,,,Кирпич магнезиально-шпилевидный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.01,,,
,,,,ALEKC,,,"Кирпич муллитокремнеземистый, муллитовый, муллитокорундовый",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.02,,,
,,,,ALEKD,,,Кирпич периклазохромитовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.03,,,
,,,,ALEKE,,,Кирпич форстеритовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.04,,,
,,,,ALEKF,,,Кирпич цирконистый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.05,,,
,,,,ALEKG,,,Кирпич шамотный гнездовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.08.06,,,
,,,ALEL,,,,"Плиты огнеупорные, кроме изделий из кремнеземистой каменной муки или диатомитовых земель",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.09
",,,
,,,,ALELA,,,"Плиты муллитокремнеземистые, муллитовые, муллитокорундовые и корундовые для шиберных затворов сталеразливочных ковшей",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,17.3.09.01,"СТ 10 14 20 17 02
СТ 10 14 20 17 03",,
,,,,ALELB,,,Плиты периклазовые для шиберных затворов сталеразливочных ковшей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.09.02,,,
,,,ALEM,,,,Огнеупорные изделия,,,,,,,
,,ALF,,,,,Изделие для защиты от коррозии,,,,,,,
,,,,,,ALF010,Лента для антикоррозийной защиты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.06.03,,,
