Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,ABCDA,,,Тупиковый упор,"Устройство, предназначенное для гашения скорости крана и предотвращения его схода с концевых участков кранового пути в аварийных ситуациях при отказе отключающего устройства или тормозов механизма передвижения крана",ГОСТ Р 56944-2016,,,,,
,,,,ABCDB,,,Отключающее устройство,"Устройство, обеспечивающее воздействие на ограничитель передвижения крана для предотвращения его перемещения за пределы рабочей зоны",ГОСТ Р 56944-2016,,,,,
,,,ABCE,,,,Ограждение надземного рельсового пути,,,,,,,
,,ABD,,,,,Элемент мембранных покрытий,,,,,,,
,,,ABDA,,,,Элемент опорного кольца внутреннего,,,,,,,
,,,ABDB,,,,Элемент опорного кольца наружного,,,,,,,
,,ABE,,,,,Диафрагма жесткости,"Плоский вертикальный несущий элемент консольного типа, предназначенный для обеспечения пространственной жесткости здания путем восприятия горизонтальных нагрузок и передачи усилий на фундамент","СП 356.1325800.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.04.02,,,
,,ABF,,,,,Объемный блок,"Конструктивный монтажный элемент, изготовленный в заводских условиях, являющийся частью объема здания (санитарно-техническая кабина, элементы лифтовых шахт и т.п.)","ГОСТ 18048-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"23.61.12.159.05.1.08.01-0251
23.61.12.159.05.1.08.01-0252
23.61.12.175.05.1.07.05-0021
23.61.12.175.05.1.07.05-0022
23.61.12.175.05.1.07.05-0023
23.61.12.175.05.1.07.05-0024",,,
,AC,,,,,,Элементы стеновых конструкций зданий,,,,,,,
,,ACA,,,,,"Кирпич, камни, блоки, перемычки",,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,СТ 10 07 20,,
,,,ACAA,,,,Камень бетонный стеновой,"Камень, изготовленный вибропрессованием, прессованием, формованием или другими способами из легкого, тяжелого и мелкозернистого бетонов, применяемый при возведении стен и других конструкций зданий и сооружений различного назначения","ГОСТ 6133-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"05.2.03.01
05.2.03.02",СТ 10 10 50 50,Определение синтезировано,
,,,ACAB,,,,Кирпич и камни силикатные,,ГОСТ 379-2015,,,,,
,,,,ACABA,,,Кирпич силикатный полнотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"05.2.03.14
05.2.03.16",,,
,,,,ACABB,,,Камень силикатный пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.2.03.08,,,
,,,,ACABC,,,Одинарный кирпич силикатный пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.2.03.18,,,
,,,,ACABD,,,Утолщенный кирпич пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.2.03.17,,,
,,,ACAC,,,,Кирпич и камень керамические,,"ГОСТ 530-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)  ",,"06.1.01.01
06.1.01.02
06.1.01.03
06.1.01.05",,,
