code,level_1,level_2,level_3,level_4,param_1,param_2
ТО 12 10 10 04,,,,"Тракторы гусеничные, мощность до 132 кВт (180 л.с.)",2.1-2-4,28.92.50.000
ТО 12 10 10 05,,,,"Тракторы гусеничные, мощность до 230 кВт (311 л.с.)",2.1-2-5,28.92.50.000
ТО 12 10 10 06,,,,Дозировщики тракторные,2.1-2-10,28.92.50.000
ТО 12 10 20,,,На колесном ходу,,,
ТО 12 10 20 01,,,,"Тракторы колесные, мощность до 18 кВт (25 л.с.)",2.1-2-6,28.30.21.110
ТО 12 10 20 02,,,,"Тракторы колесные, мощность до 63 кВт (85 л.с.)",2.1-2-7,28.30.23.110
ТО 12 10 20 03,,,,"Тракторы колесные, мощность до 132 кВт (180 л.с.)",2.1-2-8,28.30.23.110
ТО 12 10 20 04,,,,"Тракторы колесные, мощность до 300 кВт (405 л.с.)",2.1-2-9,28.30.23.110
ТО 12 10 20 06,,,,"Тракторы колесные, мощность до 100 кВт (136 л.с.)",2.1-2-11,28.30.23.110
ТО 12 10 20 07,,,,"Тракторы колесные, мощность до 158 кВт (215 л.с.)",2.1-2-13,28.30.23.110
ТО 12 10 20 08,,,,Минитракторы (тросо протягиватели),2.1-2-12,
ТО 14,"Краны, подъемники, трубоукладчики",,,,,
ТО 14 10,,Краны башенные,,,,
ТО 14 10 10,,,Грузоподъемность 8-75 т,,,
ТО 14 10 10 01,,,,"Краны башенные, грузоподъемность до 8 т",2.1-3-2,28.22.14.126
ТО 14 10 10 02,,,,"Краны башенные, грузоподъемность до 10 т",2.1-3-3,28.22.14.126
ТО 14 10 10 04,,,,"Краны башенные, грузоподъемность до 12 т",2.1-3-5,28.22.14.126
ТО 14 10 10 05,,,,"Краны башенные, грузоподъемность до 25 т",2.1-3-6,28.22.14.126
ТО 14 10 10 06,,,,"Краны башенные, грузоподъемность до 50 т",2.1-3-7,28.22.14.126
ТО 14 15,,Краны,,,,
ТО 14 15 10,,,Консольные,,,
ТО 14 15 10 03,,,,"Краны консольные, грузоподъемность до 0,5 т",2.1-3-26,28.22.14.123
ТО 14 15 10 04,,,,"Краны консольные, грузоподъемность до 5 т",2.1-3-27,28.22.14.123
ТО 14 15 20,,,Нулевого цикла,,,
ТО 14 15 20 01,,,,"Краны нулевого цикла на рельсовом ходу, грузоподъемность до 10 т",2.1-3-14,28.22.14.125
ТО 14 15 20 02,,,,"Краны нулевого цикла на рельсовом ходу, грузоподъемность до 63 т",2.1-3-15,28.22.14.125
ТО 14 15 25,,,Мостовые,,,
ТО 14 15 25 01,,,,"Краны мостовые двухбалочные, грузоподъемность до 32 т, пролет до 25 м",2.1-3-16,28.22.14.121
ТО 14 15 25 02,,,,"Краны мостовые двухбалочные, грузоподъемность до 50 т, пролет до 25 м",2.1-3-17,28.22.14.121
ТО 14 15 25 03,,,,"Краны мостовые двухбалочные, грузоподъемность до 20 т, пролет до 25 м",2.1-3-18,28.22.14.121
ТО 14 15 30,,,Козловые,,,
ТО 14 15 30 01,,,,"Краны козловые, грузоподъемность до 3,2 т, высота подъема до 8 м, пролет до 18 м",2.1-3-19,28.22.14.122
ТО 14 15 30 02,,,,"Краны козловые, грузоподъемность до 10 т, высота подъема до 10 м, пролет до 20 м",2.1-3-20,28.22.14.122
ТО 14 15 30 03,,,,"Краны козловые, грузоподъемность до 20 т, высота подъема до 24 м, пролет до 44 м",2.1-3-21,28.22.14.122
ТО 14 15 30 04,,,,"Краны козловые, грузоподъемность до 30 т, высота подъема до 18 м, пролет до 42 м",2.1-3-22,28.22.14.122
ТО 14 15 30 05,,,,"Краны козловые, грузоподъемность до 40 т, высота подъема до 10,5 м, пролет до 26 м",2.1-3-23,28.22.14.122
ТО 14 15 30 06,,,,"Краны козловые, грузоподъемность до 50 т, высота подъема до 14,5 м, пролет до 26 м",2.1-3-24,28.22.14.122
ТО 14 15 30 07,,,,"Краны козловые, грузоподъемность до 65 т, высота подъема до 24,0 м, пролет до 30 м",2.1-3-25,28.22.14.122
ТО 14 15 30 08,,,,"Краны козловые переносные с электрической талью, грузоподъемность до 3 т",2.1-3-110,28.22.14.122
ТО 14 15 30 09,,,,"Краны козловые специальные, грузоподъемность до 63 т, высота подъема до 9 м, пролет до 8 м",2.1-3-111,28.22.14.122
ТО 14 15 35,,,Краны-укосины,,,
ТО 14 15 35 01,,,,"Краны-укосины грузоподъемность менее 0,5 т",2.1-3-26,28.22.14.123
ТО 14 15 35 02,,,,"Краны-укосины, грузоподъемность до 5 т",2.1-3-27,28.22.14.123
ТО 14 15 35 03,,,,"Краны подвесные однобалочные электрические, грузоподъемность до 2 т",2.1-3-28,28.22.14.129
ТО 14 15 40,,,На железнодорожном ходу,,,
ТО 14 15 40 01,,,,"Краны на железнодорожном ходу, грузоподъемность до 16 т",2.1-3-29,28.22.14.152
ТО 14 15 40 02,,,,"Краны на железнодорожном ходу, грузоподъемность до 25 т",2.1-3-30,28.22.14.152
ТО 14 15 40 03,,,,"Краны на железнодорожном ходу, грузоподъемность до 80 т",2.1-3-31,28.22.14.152
ТО 14 15 40 04,,,,"Краны на железнодорожном ходу, грузоподъемность до 125 т",2.1-3-32,28.22.14.152
ТО 14 15 45,,,На автомобильном ходу,,,
ТО 14 15 45 06,,,,"Краны на автомобильном ходу, грузоподъемность до 16 т",2.1-3-38,29.10.51.000
ТО 14 15 45 07,,,,"Краны на автомобильном ходу, грузоподъемность до 20 т",2.1-3-39,29.10.51.000
ТО 14 15 45 08,,,,"Краны на автомобильном ходу, грузоподъемность до 25 т",2.1-3-40,29.10.51.000
ТО 14 15 45 09,,,,"Краны на автомобильном ходу, грузоподъемность до 40 т",2.1-3-41,29.10.51.000
ТО 14 15 45 10,,,,"Краны на автомобильном ходу, грузоподъемность до 50 т",2.1-3-42,29.10.51.000
ТО 14 15 45 11,,,,"Краны на автомобильном ходу, грузоподъемность до 70 т",2.1-3-43,29.10.51.000
ТО 14 15 45 12,,,,"Краны на автомобильном ходу, грузоподъемность до 100 т",2.1-3-597,29.10.51.000
ТО 14 15 50,,,На специальном шасси автомобильного типа,,,
ТО 14 15 50 05,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 90 т",2.1-3-101,28.22.14.129
ТО 14 15 50 06,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 100 т",2.1-3-102,28.22.14.129
ТО 14 15 50 07,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 130 т",2.1-3-103,28.22.14.129
ТО 14 15 50 08,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 180 т",2.1-3-104,28.22.14.129
ТО 14 15 50 09,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 200 т",2.1-3-105,28.22.14.129
ТО 14 15 50 10,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 250 т",2.1-3-106,28.22.14.129
ТО 14 15 50 11,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 350 т",2.1-3-107,28.22.14.129
ТО 14 15 50 12,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 500 т",2.1-3-108,28.22.14.129
ТО 14 15 50 13,,,,"Краны на специальном шасси автомобильного типа, грузоподъемность до 750 т",2.1-3-109,28.22.14.129
ТО 14 15 55,,,На базе трактора,,,
ТО 14 15 55 01,,,,"Краны на базе трактора, мощность до 132 кВт (180 л.с.), грузоподъемность до 3 т",2.1-3-52,28.22.14.159
ТО 14 15 60,,,На пневмоколесном ходу,,,
ТО 14 15 60 02,,,,"Краны на пневмоколесном ходу, грузоподъемность до 25 т",2.1-3-54,29.10.51.000
ТО 14 15 60 03,,,,"Краны на пневмоколесном ходу, грузоподъемность до 40 т",2.1-3-56,29.10.51.000
ТО 14 15 60 04,,,,"Краны на пневмоколесном ходу, грузоподъемность до 60 т",2.1-3-57,29.10.51.000
ТО 14 15 65,,,На гусеничном ходу,,,
ТО 14 15 65 02,,,,"Краны на гусеничном ходу, грузоподъемность до 25 т",2.1-3-60,28.22.14.151
ТО 14 15 65 03,,,,"Краны на гусеничном ходу, грузоподъемность до 40 т",2.1-3-61,28.22.14.151
ТО 14 15 65 04,,,,"Краны на гусеничном ходу, грузоподъемность до 63 т",2.1-3-62,28.22.14.151
ТО 14 15 65 05,,,,"Краны на гусеничном ходу, грузоподъемность до 100 т",2.1-3-63,28.22.14.151
ТО 14 15 65 06,,,,"Краны на гусеничном ходу импортного производства, грузоподъемность до 350 т",2.1-3-594,
ТО 14 15 65 07,,,,"Краны на гусеничном ходу импортного производства, грузоподъемность до 750 т",2.1-3-596,
ТО 14 20,,Установки гидравлические для труб,,,,
ТО 14 20 10,,,Установки гидравлические для труб,,,
ТО 14 20 10 01,,,,"Установки гидравлические для труб, длина продавливания до 20 м (УПК-2,5)",2.1-3-64,28.99.39.190
ТО 14 20 10 02,,,,"Установки гидравлические для труб, длина продавливания более 20 м (УПК-20)",2.1-3-65,28.99.39.190
