code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 20 50 38,,,Монтаж подподовых рельсов со стальными шпалами и креплениями,3.9-30-9,Рельс,готовое изделие
ВР 20 50 39,,,"Монтаж лестниц, площадок, ограждений, панелей и дверок с теплоизоляционной обшивкой",3.9-30-10,"Лестница
Площадка
Ограждение
Панель
Дверь",готовое изделие
ВР 20 50 40,,,Монтаж закалочных баков (без стальных конструкций конвейеров),3.9-30-11,Бак,готовое изделие
ВР 20 50 41,,,"Монтаж люлек, этажерок сушил и других деталей из сортовой стали",3.9-30-12,"Люлька
Этажерка
Прочая деталь",готовое изделие
ВР 20 50 42,,,"Монтаж кронштейнов и подвесок стен и сводов, заслонок и обрамлений окон, амбразур, горелок и форсунок","3.9-30-13
3.9-30-14","Кронштейн
Подвес
Заслонка
Обрамление
Амбразура
Горелка
Форсунка",готовое изделие
ВР 20 50 43,,,"Монтаж щитов и блоков встроенных площадок с настилом из листовой стали, ребрами жесткости, составного сечения",3.9-31-1,"Щит
Прочая деталь",готовое изделие
ВР 20 50 44,,,Монтаж подвесных путей многоопорных кранов и монорельсов для тельферов и талей прямолинейных по металлическим опорам номера балок,"3.9-32-1
3.9-32-2
3.9-32-3",Путь подвесной,готовое изделие
ВР 20 50 45,,,Монтаж подвесных путей многоопорных кранов и монорельсов для тельферов и талей прямолинейных по железобетонным опорам номера балок,"3.9-32-4
3.9-32-5
3.9-32-6",Путь подвесной,готовое изделие
ВР 20 50 46,,,Монтаж подвесных путей многоопорных кранов и монорельсов для тельферов и талей криволинейных по металлическим опорам номера балок,"3.9-32-7
3.9-32-8
3.9-32-9",Путь подвесной,готовое изделие
ВР 20 50 47,,,Монтаж подвесных путей многоопорных кранов и монорельсов для тельферов и талей криволинейных по железобетонным опорам номера балок,"3.9-32-10
3.9-32-11
3.9-32-12",Путь подвесной,готовое изделие
ВР 20 50 48,,,Монтаж опорных конструкций для крепления трубопроводов внутри зданий и сооружений,"3.9-33-1
3.9-33-2
3.9-33-3",Опорная конструкция,готовое изделие
ВР 20 50 49,,,Монтаж опорных конструкций подвесок и хомутов для крепления трубопроводов внутри зданий и сооружений,3.9-33-4,"Подвес
Хомут",готовое изделие
ВР 20 50 50,,,Монтаж опорных конструкций этажерочного типа,3.9-33-5,Этажерка,готовое изделие
ВР 20 50 51,,,Монтаж подкрановых путей по металлическим подкрановым балкам для рельсов типа КР,3.9-34-1,Подкрановый путь,готовое изделие
ВР 20 50 52,,,Монтаж подкрановых путей по железобетонным подкрановым балкам,3.9-34-2,Подкрановый путь,готовое изделие
ВР 20 50 53,,,Монтаж мелких конструкций из стали различного профиля,"3.9-35-1
3.9-35-2
3.9-35-3",Прочая деталь,готовое изделие
ВР 20 50 54,,,Монтаж конструкций дверей и люков,3.9-36-1,"Дверь
Люк",готовое изделие
ВР 20 50 55,,,"Монтаж решеток, затворов из полосовой и тонколистовой стали",3.9-36-2,"Решётка
Затвор",готовое изделие
ВР 20 50 56,,,"Монтаж стеллажей и других конструкций, закрепляемых на фундаментах внутри зданий",3.9-36-3,"Стеллаж
Прочая деталь",готовое изделие
ВР 20 50 57,,,Монтаж конструкций стопорных устройств и ограждений поворотов подвесных путей,3.9-36-4,"Стопор
Ограждение",готовое изделие
ВР 20 50 58,,,Установка стальных обрамлений проемов шахтных дверей противопожарных,"3.9-37-1
3.9-37-2
3.9-37-3",Обрамление,готовое изделие
ВР 20 50 59,,,Монтаж разгородительных сеток в рамках по лифтовым шахтам,3.9-38-1,Сетка разгородительная,готовое изделие
ВР 20 50 60,,,Монтаж защитных ограждений оборудования из листовой стали,3.9-39-1,Ограждение,готовое изделие
ВР 20 50 61,,,"Монтаж перегородок стальных консольных, сетчатых",3.9-40-1,Перегородка,готовое изделие
ВР 20 50 62,,,Облицовка ворот стальным профилированным листом,3.9-41-1,Облицовка,готовое изделие
ВР 20 50 63,,,Установка химических анкеров в готовые отверстия,3.9-72-1,Анкер,готовое изделие
ВР 20 50 64,,,Установка распорных анкеров в готовые отверстия,3.9-72-2,Анкер,готовое изделие
ВР 20 50 65,,,Установка противопожарных металлических однопольных дверных блоков,3.9-74-1,Дверь,готовое изделие
ВР 20 50 66,,,Установка противопожарных металлических двупольных дверных блоков,3.9-74-2,Дверь,готовое изделие
ВР 20 50 67,,,Монтаж съемных металлических полов стальных штампованных,3.9-76-1,Пол,готовое изделие
ВР 20 50 68,,,Монтаж съемных металлических полов из алюминиевых плит,3.9-76-2,Пол,готовое изделие
ВР 20 50 69,,,Установка экранов балконов и лоджий из оцинкованной стали,3.9-78-1,Экран,готовое изделие
ВР 20 50 70,,,Установка решеток на окна,"3.9-79-1
3.9-79-2",Решётка,готовое изделие
ВР 20 50 71,,,Установка приставных порталов дверей шахт лифтов в металлокаркасных и комбинированных шахтах,3.9-80-1,Портал,готовое изделие
ВР 20 50 72,,,Монтаж перегородок из алюминиевых сплавов сборно-разборных с остеклением,3.9-52-1,Перегородка,готовое изделие
ВР 20 50 73,,,Монтаж перегородок из алюминиевых сплавов звукоизоляционных,3.9-52-2,Перегородка,готовое изделие
ВР 20 50 74,,,Монтаж алюминиевых витражей с установкой нащельников и сливов,3.9-53-1,Витраж,готовое изделие
ВР 20 50 75,,,В том числе заделка стыков при монтаже алюминиевых витражей (для позиции 3.9-53-1),3.9-53-2,Витраж,готовое изделие
ВР 20 50 76,,,Установка алюминиевых оконных блоков,3.9-54-1,Оконо,готовое изделие
ВР 20 50 77,,,Установка алюминиевых дверных блоков в наружных и внутренних проемах в каменных стенах,"3.9-68-1
3.9-68-2",Дверь,готовое изделие
ВР 20 50 78,,,Установка раздвижных створок алюминиевых конструкций остекления лоджий,3.9-82-1,Остекление лоджий,готовое изделие
ВР 20 50 79,,,Установка обрамлений проемов шахтных дверей из алюминиевого профиля,"3.9-55-1
3.9-55-2
3.9-55-3",Обрамление,готовое изделие
ВР 20 50 80,,,Обшивка алюминиевыми листами по металлическому каркасу,3.9-56-1,Обшивка,готовое изделие
ВР 20 50 81,,,Установка алюминиевых фризов,3.9-57-1,Фриз,готовое изделие
ВР 20 50 82,,,Установка алюминиевых сливов,3.9-57-2,Слив,готовое изделие
ВР 20 50 83,,,Установка алюминиевых нащельников,3.9-57-3,Нащельник,готовое изделие
ВР 20 50 84,,,Подшивка терморазъемов витражей асбестоцементными листами,3.9-58-1,Витраж,готовое изделие
ВР 20 50 85,,,Установка номерных табличек для квартир,3.9-65-1,Табличка номерная,готовое изделие
ВР 20 50 86,,,"Установка номерных табличек для этажа, подъезда",3.9-65-2,Табличка номерная,готовое изделие
ВР 20 50 87,,,Установка номерных табличек с номерами подъезда и квартир,3.9-65-3,Табличка номерная,готовое изделие
ВР 20 50 88,,,Установка флагодержателей стальных,3.9-66-1,Флагодержатель,готовое изделие
ВР 20 50 89,,,"Установка ящиков почтовых шестисекционных стальных, окрашенных эмалью с креплением к стенам лестничных клеток",3.9-67-1,Ящик почтовый,готовое изделие
ВР 20 50 90,,,Монтаж стальных плинтусов из гнутого профиля,3.9-77-1,Плинтус,готовое изделие
ВР 20 50 91,,,Монтаж опор канатных дорог свободно стоящих высотой до 25 м,3.9-75-1,Опора канатной дороги,готовое изделие
ВР 20 50 92,,,"Монтаж станций предохранительных, мостов и эстакад канатных дорог",3.9-75-2,Станция предохранительная,готовое изделие
ВР 20 55,,Дополнительные работы при сборке и установке металлоконструкций,,,,
ВР 20 55 01,,,Резка стального профилированного настила,3.9-42-1,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 02,,,Постановка болтов нормальной точности,3.9-44-1,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 03,,,Постановка болтов высокопрочных,3.9-44-2,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 04,,,Усиление сварных швов (наплавкой),3.9-47-1,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 05,,,Устранение электросваркой трещин с постановкой ребер жесткости,3.9-48-1,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 06,,,Рихтовка подкрановых балок,3.9-69-1,"Все металлоконструкции
в соответствии с разделом ПОС",готовое изделие
ВР 20 55 07,,,Усиление металлических крайних колонн стальными конструкциями,3.9-70-1,Колонна,готовое изделие
ВР 20 55 08,,,Электродуговая сварка при монтаже каркасов одноэтажных производственных зданий в целом,3.9-43-1,Каркас,готовое изделие
ВР 20 55 09,,,"Электродуговая сварка при монтаже одноэтажных производственных зданий, опорных частей каркасов (колонны, подкрановые балки)",3.9-43-2,"Колонна
Балка подкрановая",готовое изделие
ВР 20 55 10,,,"Электродуговая сварка при монтаже покрытий (фермы, балки) одноэтажных производственных зданий",3.9-43-3,"Ферма
Балка",готовое изделие
