Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,,UCBB,,,,Проведение испытаний функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,UD,,,,,,Пробные пуски оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,"ГЭСНп 81-05-01-2020 
ГЭСНп 81-05-02-2020
ГЭСНп 81-05-03-2020
ГЭСНп 81-05-04-2020
ГЭСНп 81-05-05-2020 
ГЭСНп 81-05-06-2020
ГЭСНп 81-05-07-2020
ГЭСНп 81-05-08-2020 
ГЭСНп 81-05-09-2020
ГЭСНп 81-05-16-2020    ",
,,UDA,,,,,Работы по пробному пуску тепломеханического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UDAA,,,,Наладка механических паросбросных устройств,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAB,,,,Наладка ОПС на горячем оборудовании,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAC,,,,Проведение испытаний ГТУ на различных нагрузках,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAD,,,,Разработка диаграмм режимов работы турбинной установки,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAE,,,,Проведение испытаний электронной гидравлической системы регулирования ПТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAF,,,,Проведение испытаний систем регулирования ГТУ и ПТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAG,,,,Проведение испытаний вспомогательных систем ГТУ и ПТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAH,,,,Проведение испытаний вспомогательных топливно-транспортных систем,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAJ,,,,Проведение испытаний вспомогательных систем технического водоснабжения,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAK,,,,Проведение испытаний водоподготовительных установок,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAL,,,,Проведение испытаний функциональных узлов при работе оборудования в переменных режимах,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAM,,,,Проведение испытаний функциональных узлов при работе оборудования в стационарных режимах,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAN,,,,Проведение испытаний оборудования конденсатных и питательных трактов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAP,,,,Проведение испытаний оборудования при проведении промывок и продувок элементов нагрева,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAQ,,,,Проведение испытаний котлов на различных нагрузках,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAR,,,,Разработка режимной карты работы котельной установки,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAS,,,,Проведение испытаний ПТУ на различных нагрузках,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAT,,,,Пусковая наладка водно-химического режима работы котельной установки,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAU,,,,Наладка режимов работы основного оборудования при пусках из различных тепловых состояний по графикам заводов-изготовителей,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAV,,,,Проведение испытаний на взятие максимально возможной (в пределах проектной) нагрузки,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAW,,,,Проведение испытаний на взятие максимально длительной нагрузки,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAX,,,,Экспериментальное определение статических и динамических характеристик оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAY,,,,Наладка режимов работы основного оборудования при остановах с расхолаживанием,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDAZ,,,,Наладка режимов работы основного оборудования при остановах без расхолаживания,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UDB,,,,,Работы по пробному пуску электротехнического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UDBA,,,,Пробный пуск комплекса с включением в сеть,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBB,,,,Проведение испытаний при работе в режиме короткого замыкания,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBC,,,,Проведение испытаний при работе в режиме холостого хода,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBD,,,,Проведение испытаний при работе на холостом ходу,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBE,,,,Проведение испытаний при работе на нагрузке,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBF,,,,Проведение испытаний с импульсной разгрузкой по командам от противоаварийной автоматики,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDBG,,,,Проведение испытаний схемы выдачи мощности,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UDC,,,,,"Работы по пробному пуску автоматизированных систем контроля и управления, в том числе АСУТП",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UDCA,,,,"Техническое сопровождение технологической функции ""сбор, обработка и отображение информации"" при испытании оборудования",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCB,,,,Техническое сопровождение технологической функции ТС,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCC,,,,"Техническое сопровождение технологических функций ""архивирование и протоколирование"", включая графическое программное обеспечение",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCD,,,,Отладка информационных каналов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCE,,,,Корректировка информационной базы по результатам работы оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCF,,,,Метрологическая аттестация измерительных каналов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCG,,,,Режимная наладка САР,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCH,,,,"Проведение испытаний ТЗ, действующих на останов основного и вспомогательного оборудования",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCJ,,,,"Проведение испытаний технологических функций ТЗ, ТС, ТБ и АВР на работающем оборудовании с воздействием на исполнительные механизмы",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCK,,,,Наладка и испытания логических пошаговых программ управления оборудованием,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCL,,,,Техническое сопровождение при опытной эксплуатации управляющих технологических функций АСУТП с проведением испытаний в переменных режимах работы оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UDCM,,,,Техническое сопровождение при опытной эксплуатации управляющих технологических функций АСУТП с проведением испытаний в стационарных режимах работы оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
