Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,DF,,,,Переработка и утилизация других строительных материалов ненесущих конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,DFA,,,Переработка стеклобоя,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,DFAA,,Переработка путем дробления и помола,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,DFB,,,Переработка отходов утеплителя,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,DFBA,,Первичное дробление в молотковой дробилке (размеры частиц менее 8 мм),,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,DFBB,,Вторичное дробление в стержневой мельнице до размеров частиц (0-1 мм),,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,DFC,,,Переработка битумных кровельных отходов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,DFCA,,Термическая обработка при температуре 280°С-300°С в специальных котлах,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,DG,,,,Вывоз материалов на полигоны ТБО,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 ",,,
E,,,,,Рекультивация территории,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 ",По виду работ,,
,EA,,,,Предотвращение загрязнения почвенного слоя маслами и горючим при эксплуатации строительных машин,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EB,,,,Срез плодородного слоя почвы,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EC,,,,Временное хранение срезанного плодородного слоя почвы с целью дальнейшего использования при рекультивации земельного участка,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,ED,,,,"Защита деревьев и кустарников, не подлежащих вырубке или пересадке, от повреждения при работе строительных машин",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EE,,,,Защита водных объектов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EF,,,,Вывоз отработанного и загрязненного грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EG,,,,Восстановление существующих и посадка новых кустарников и деревьев,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EH,,,,Привоз нового грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,EJ,,,,Использование по назначению годного растительного грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
F,,,,,Строительный контроль и надзор за выполнением работ по сносу зданий и сооружений,,ПП РФ от 21.06.2010 N 468 ,По виду работ,,
,FA,,,,"Проверка качества строительных материалов, изделий, конструкций и оборудования","Деятельность, направленная на обеспечение качества производимых работ путем контроля соответствия выполняемых работ и применяемых материалов, изделий и конструкций требованиям проектной документации, норм и правил",ПП РФ от 21.06.2010 N 468 ,,,
,FB,,,,Проверка соблюдения установленных норм и правил складирования и хранения применяемой продукции,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",ПП РФ от 21.06.2010 N 468 ,,,
,FC,,,,Проверка соблюдения последовательности и состава технологических операций при осуществлении сноса (демонтажа) объекта капитального строительства,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",ПП РФ от 21.06.2010 N 468 ,,,
,FD,,,,Приемка законченных видов (этапов) работ,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",ПП РФ от 21.06.2010 N 468 ,,,
,FE,,,,Проверка совместно с заказчиком соответствия законченного процесса сноса (демонтажа) объекта,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",ПП РФ от 21.06.2010 N 468 ,,,
,FF,,,,Проверка полноты и соблюдения установленных сроков выполнения работ по сносу зданий и сооружений,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",ПП РФ от 21.06.2010 N 468 ,,,
,FG,,,,Ведение общего журнала работ по сносу зданий и сооружений,"Процесс по заполнению Общего журнала работ - основного первичного производственного документа, отражающего технологическую последовательность, сроки, качество выполнения и условия производства работ по сносу зданий и сооружений",ПП РФ от 21.06.2010 N 468 ,,,
