Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,FBA,,,Комплекс объектов производства товаров для личных бытовых нужд и профессиональной деятельности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBB,,,Комплекс объектов производства ювелирных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBC,,,"Комплекс объектов производства изделий из бумаги, картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBD,,,Комплекс объектов производства изделий из дерева,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBE,,,Комплекс объектов производства мебели,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBF,,,Комплекс объектов промышленности другой неметаллической минеральной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBG,,,Комплекс объектов производства изделий из резины и пластмассы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FBH,,,Комплекс объектов производства изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,FC,,,,Комплексы ОКС промышленности готовых металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,FCA,,,Комплекс объектов производства металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FCB,,,Комплекс объектов производства обычных вооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FCС,,,"Комплекс объектов производства оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FCD,,,"Комплекс объектов роизводства металлических цистерн, резервуаров и прочих емкостей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,FD,,,,Комплексы ОКС медико-инструментальной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,FDA,,,"Комплекс объектов производства материалов и изделий, применяемых в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
