Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,MAK,,,Объекты производства электротермического оборудования и теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.012.,,,,
,,,MAKA,,Здание цеха по производству электротермического оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.003,,,,
,,,MAKB,,Здание цеха по производству теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",10.03.012.004,,,,
,,,MAKC,,Здание цеха по производству воздухоподогревателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.002,,,,
,,,MAKD,,Здание цеха по производству водоподогревателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.001,,,,
,,MAL,,,"Объекты производства химического, криогенного и холодильного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.011.,,,,
,,,MALA,,"Здание цеха по производству криогенного, крупногабаритного и толстостенного химического оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.011.001,,,,
,,,MALB,,Здание цеха по производству холодильного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.011.002,,,,
,,MAM,,,"Объекты производства станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.010.,,,,
,,,MAMA,,"Здание цеха по производству станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.010.001,,,,
,MB,,,,Машиностроение для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.02.,,,,
,,MBA,,,Объекты производства машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.02.001.,,,,
,,,MBAA,,Здание цеха по производству машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.02.001.001,,,,
,,MBB,,,Объекты производства оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.02.002.,,,,
,,,MBBA,,Здание цеха по производству оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.02.002.001,,,,
,MC,,,,Промышленность гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.04.,,,,
,,MCA,,,Объекты предприятий компрессорного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.04.001.,,,,
,,,MCAA,,Здание цеха по производству насосов и компрессорного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.04.001.001,,,,
,,MCB,,,Объекты производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.04.002.,,,,
,,,MCBA,,Здание специализированного производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.04.002.001,,,,
,MD,,,,Промышленность двигателей и турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.05. ,,,,
,,MDA,,,"Объекты производства комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.002.,,,,
,,,MDAA,,"Здание цеха по производству комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.002.001,,,,
,,MDB,,,Объекты производства специальных двигателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.003.,,,,
,,,MDBA,,Здание цеха по производству двигателей для промышленного применения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.003.001,,,,
,,MDC,,,Объекты производства турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.004.,,,,
,,,MDCA,,Здание цеха по производству турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.004.001,,,,
,,,MDCB,,Здание цеха по производству турбогенераторных установок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.004.002,,,,
,,MDD,,,Объекты производства двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.001.,,,,
,,,MDDA,,Здание цеха по производству двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.001.001,,,,
,ME,,,,Промышленность колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.07. ,,,,
,,MEA,,,Объекты лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.001.,,,,
,,,MEAA,,Здание цеха лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.001.001,,,,
,,MEB,,,Объекты машиностроения для сельского хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.002.,,,,
,,,MEBA,,"Здание цеха по производству сельскохозяйственных машин, агрегатов и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.002.001,,,,
,,MEC,,,Объекты производства колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.003.,,,,
,,,MECA,,Здание цеха по производству колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.003.001,,,,
,MF,,,,"Промышленность подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.09. ,,,,
,,MFA,,,Объекты производства подъемно-транспортного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.09.001.,,,,
,,,MFAA,,Здание цеха по производству грузовых и пассажирских лифтов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.001.001,,,,
,,,MFAB,,"Здание цеха по производству навесного оборудования подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.001.002,,,,
,,MFB,,,Объекты производства средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.09.002.,,,,
,,,MFBA,,Здание малярно-сдаточного цеха средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.001,,,,
,,,MFBB,,Здание цеха по производству конвейеров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.002,,,,
,,,MFBC,,Здание цеха по производству оборудования канатных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.003,,,,
,,,MFBD,,Здание цеха по производству эскалаторов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.004,,,,
,MG,,,,Вспомогательная инфраструктура отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.10.,,,,
,,MGA,,,Вспомогательные объекты отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.10.001.,,,,
,,,MGAA,,Здание (сооружение) для испытаний отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0055
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.001,,,,
,,,MGAB,,Здание ремонтного цеха отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.003,,,,
,,,MGAC,,Административно-бытовое здание отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.002,,,,
,,,MGAE,,"Здание цеха по производству запасных частей, комплектующих и расходных материалов для машин и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.005,,,,
,MH,,,,Кораблестроение и судостроение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.01.,,,,
,,MHA,,,"Объекты производства кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.01.001.,,,,
,,,MHAA,,"Здание цеха по производству кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.01.001.001,,,,
,MJ,,,,Промышленность железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.06. ,,,,
,,MJA,,,Объекты производства железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.06.001.,,,,
,,,MJAA,,Здание цеха по производству железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.06.001.001,,,,
,MK,,,,"Промышленность летательных аппаратов, включая космические",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.08.,,,,
,,MKA,,,Объекты производства летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.08.001.,ВН ПН 40 10 56,,,
,,,MKAA,,Здание цеха по производству летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.08.001.001,,,,
,,MKB,,,Объекты ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.08.002.,,,,
,,,MKBA,,Здание (сооружение) ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.08.002.001,,,,
R,,,,,"Здравоохранение, спорт, физическая культура, отдых и развлечения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.,,,,
,RA,,,,Лечебное обеспечение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.01.,,,,
,,RAA,,,Больницы общего профиля,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,BQ__0019 ,03.01.001.,,,,
,,,RAAA,,Здание детской клинической больницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.001.001,,,,
,,,RAAB,,Здание клинической больницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.001.002,,,,
,,RAB,,,Специализированные лечебно-профилактические организации,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,BF__0062,03.01.006.,,,,
,,,RABA,,Здание амбулатории (офиса врача общей практики),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.001,,,,
,,,RABB,,"Здание дома ребенка, в том числе специализированного",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.002,,,,
,,,RABC,,Здание женской консультации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.006.003,,,,
,,,RABD,,Здание родильного дома,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.004,,,,
,,,RABE,,Здание фельдшерско-акушерского пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0006
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.005,,,,
,,RAD,,,Диспансеры,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 158.13330.2014",,BQ__0019 ,03.01.002.,,,,
,,,RADA,,Здание кожно-венерологического диспансера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",03.01.002.001,,,,
,,,RADB,,Здание наркологического диспансера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",03.01.002.002,,,,
,,,RADC,,Здание онкологического диспансера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",03.01.002.003,,,,
,,,RADD,,Здание противотуберкулезного диспансера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",03.01.002.004,,,,
,,,RADE,,Здание психоневрологического диспансера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",03.01.002.005,,,,
,,RAF,,,Объекты инфраструктуры лечебного обеспечения ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.01.003,,,,
,,,RAFA,,Здание бюро специальной экспертизы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.003.001,,,,
,,,RAFB,,Здание дезинфекционного центра/станции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.003.002,,,,
,,,RAFC,,Здание молочной кухни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.003.003,,,,
,,,RAFD,,"Здание патологоанатомического отделения, морга",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.003.004,,,,
,,,RAFE,,Здание (сооружение) медицинской лаборатории,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.003.005,,,,
,,RAG,,,Поликлиники,"Организации, оказывающие внебольничную помощь пациентам, приходящим на прием, и на дому"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,BF__0062,03.01.004.,,,,
,,,RAGA,,Здание детской поликлиники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.004.001,,,,
,,,RAGB,,Здание поликлиники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.004.002,,,,
,,,RAGC,,Здание специализированной поликлиники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.004.003,,,,
,,,RAGD,,Здание стоматологической поликлиники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.004.004,,,,
,,RAH,,,"Специализированные больницы, центры",, Приказ Минстроя России от 02.11.2022 N 928/пр,,BF__0062,03.01.005.,,,,
,,,RAHA,,"Здание инфекционной больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.001,,,,
,,,RAHB,,"Здание кардиологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.005.002,,,,
,,,RAHC,,"Здание кожно-венерологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.005.003,,,,
,,,RAHD,,"Здание наркологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.004,,,,
,,,RAHE,,"Здание онкологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.005,,,,
,,,RAHF,,"Здание офтальмологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.006,,,,
,,,RAHG,,"Здание противотуберкулезной больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.007,,,,
,,,RAHH,,"Здание психиатрической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.005.008,,,,
,,,RAHJ,,"Здание психоневрологической больницы, центра",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BN__0032
BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.005.009,,,,
R,,RAJ,,,"Здание станции скорой медицинской помощи, переливания крови",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,03.01.007.,,,,
,,,RAJA,,Здание станции переливания крови,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.007.001,,,,
,,,RAJB,,Здание станции скорой медицинской помощи,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0008
BQ__0036
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.007.002,,,,
,,RAK,,,Центры медицинские,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,03.01.008.,,,,
,,,RAKA,,Здание лечебно-реабилитационного центра,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.008.001,,,,
,,,RAKB,,Здание многопрофильного медицинского центра,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.008.002,,,,
,,,RAKC,,Здание специализированного центра (по профилям медицинской помощи),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.008.003,,,,
,,,RAKD,,"Здание центра паллиативной медицинской помощи, в том числе хосписа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.008.004,,,,
,,,RAKE,,Здание центра профилактики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.008.005,,,,
,RB,,,,Объекты для кратковременного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.02.,,,,
,,RBA,,,Санаторно-курортное лечение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,03.02.002.,,,,
,,,RBAA,,"Здание (сооружение) детского санатория, профилактория",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.002.001,,,,
,,,RBAB,,"Здание (сооружение) санатория, профилактория",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.002.002,,,,
,,,RBAC,,"Сооружение лечебной инфраструктуры санатория, профилактория",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,03.02.002.003,,,,
,,RBB,,,"Гостиницы, лагеря, дома отдыха, базы отдыха","Предприятие, расположенное обычно в курортной местности и предоставляющее комплекс санаторно-оздоровительных и рекреационных услуг с использованием преимущественно природных факторов (климат, минеральные воды, грязи) и физиотерапевтических средств, диеты и режима"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,BQ__0019 ,03.02.001.,,,,
,,,RBBA,,"Здание для временного проживания (гостиница, отель и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.02.001.005,,,,
,,,RBBB,,Здание (сооружение) детского лагеря,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.001.001,,,,
,,,RBBC,,Здание (сооружение) дома отдыха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.001.002,,,,
,,,RBBD,,"Здание (сооружение) рыболовной, охотничьей базы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.001.003,,,,
,,,RBBE,,Здание (сооружение) туристической базы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.02.001.004,,,,
,RC,,,,Объекты досуга,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.03.,,,,
,,RCA,,,Познавательные объекты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.03.002.,,,,
,,,RCAA,,Здание (сооружение) зоопарка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.03.002.001,,,,
,,,RCAB,,"Здание (сооружение) океанариума, аквариума, дельфинария и др",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0025
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.03.002.002,,,,
,,,RCAC,,Парковое сооружение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0005",03.03.002.003,,,,
,,,RCAD,,Сооружение ботанического сада,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.03.002.004,,,,
,,RCB,,,Объекты развлечений и отдыха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.03.001.,,,,
,,,RCBA,,Здание (сооружение) аквапарка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.03.001.001,,,,
,,,RCBB,,Здание (сооружение) игорного заведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.03.001.002,,,,
,,,RCBC,,Здание (сооружение) парка аттракционов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.03.001.003,,,,
,,,RCBD,,Сооружение панорамного павильона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0011",03.03.001.004,,,,
,RD,,,,Спортивные объекты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.04.,,,,
,,RDA,,,Комплексы объектов зимних видов спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.04.004.,,,,
,,,RDAA,,Сооружение санно-бобслейного спорта ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0003
BF__0052",03.04.004.001,,,,
,,,RDAB,,Сооружение биатлонного и лыжного спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
XPG_0003
BF__0052",03.04.004.002,,,,
,,,RDAC,,"Сооружение горнолыжного спорта, сноуборда  ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0003
BF__0052",03.04.004.003,,,,
