Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание,Синонимы,УИН
,,BH40,Наружные подземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений под землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Коммуникационный тоннель,,,,,,,KSI050000083
,BJ,,Конструктивные системы каркасные,"Системы, основными несущими конструкциями которых являются вертикальные колонны каркаса, на которые передается нагрузка от перекрытий (безригельных или ригельных).",По сочетанию вертикальных конструкций,СП 14.13330.2018,,IfcBuildingSystem,,,,,,KSI050000084
,,BJ10,Каркас рамный,"Пространственная конструктивная система колонн и ригелей с жесткими узлами в соединениях, воспринимающая всю совокупность вертикальных и горизонтальных нагрузок.",,СП 14.13330.2018,"Каркас рамный с заполнением из штучной кладки, воспринимающей горизонтальные нагрузки
Каркас рамный без заполнения
Каркас рамный с заполнением, отделенным от каркаса",,,,,,,KSI050000085
,,BJ20,Каркас рамно-связевый,"Пространственная конструктивная система в виде рамного каркаса и вертикальных диафрагм жесткости, в которой рамный каркас воспринимает и передает на основание в основном вертикальные нагрузки, а горизонтальные нагрузки воспринимают совместно вертикальные диафрагмы жесткости и каркас.",,СП 14.13330.2018,"Каркас рамно-связевый с железобетонными диафрагмами
Каркас рамно-связевый с ядрами жесткости 
Каркас рамно-связевый со стальными связями",,,,,,,KSI050000086
,,BJ30,Каркас связевый,"Пространственная конструктивная система, включающая безригельный или ригельный каркас с нежесткими или жесткими узлами соединений ригелей с колоннами и вертикальные диафрагмы жесткости; основные вертикальные нагрузки воспринимаются и передаются на основание колоннами каркаса, а горизонтальные нагрузки - вертикальными диафрагмами жесткости.",,СП 14.13330.2018,"Каркас связевый с железобетонными диафрагмами
Каркас связевый с ядрами жесткости
Каркас связевый со стальными связями",,,,,,,KSI050000087
,BL,,Конструкции мостовых опор,"Несущий элемент мостового сооружения, поддерживающий пролетные строения и передающий нагрузки от них на фундамент",По расположению,"СП 46.13330.2012
ГОСТ 33178-2014",,IfcBuildingSystem,,,,,,KSI050000088
,,BL10,Конструкции промежуточных опор,"Конструкции опор, предназначенные для установки и стыковки на них смежных секций пролетных строений и передачи воспринимаемых нагрузок на грунт",,"ГОСТ 22583-77
ГОСТ 33178-2014","Бык
Пойменная опора
Промежуточная опора
Пилон",,,,,,,KSI050000089
,,BL20,Конструкции береговых опор,"Конструкции крайних опор моста в сопряжении его с геомассивом берегового склона и подходной насыпи, воспринимающие нагрузки от пролетного строения и переходной плиты и давления грунта геомассива берегового склона и насыпи",,"СП 35.13330.2011
",Устой (опора береговая),,,,,,,KSI050000090
,BM,,Конструкции обделки тоннелей,"Постоянная несущая конструкция, воспринимающая внешние нагрузки, ограждающая тоннель и образующая его внутреннюю поверхность",По типу исполнения,ГОСТ 33152-2014,,IfcBuildingSystem,,,,,,KSI050000091
,,BM10,Конструкции обделки тоннелей набрызг-бетонные,"Конструкции обделки тоннелей, выполненные из набрызг-бетона",,ГОСТ 33152-2014,"Ребристая обделка тоннеля
из набрызг-бетона
Обделка сводчатого очертания из набрызг-бетона",,,,,,,KSI050000092
,,BM20,Конструкции обделки тоннелей монолитные железобетонные,"Конструкции обделки тоннелей, выполненные из монолитного железобетона",,ГОСТ 33152-2014,Обделка сводчатого очертания из монолитного железобетона,,,,,,,KSI050000093
,,BM30,Конструкции обделки тоннелей сборные железобетонные,"Конструкции обделки тоннелей, выполненные из сборного железобетона",,ГОСТ 33152-2014,Обделка сводчатого очертания из сборных элементов,,,,,,,KSI050000094
,,BM40,Конструкции обделки тоннелей с комбинированной обделкой,Конструкции обделки тоннелей с комбинированной обделкой,,ГОСТ 33152-2014,Обделка сводчатого очертания из монолитного и сборного железобетона,,,,,,,KSI050000095
,,BM50,Конструкции обделки тоннелей монолитные бетонные,"Конструкции обделки тоннелей, выполненные из монолитного бетона",,ГОСТ 33152-2014,"Обделка тоннеля
из монолитного бетона двухсводчатой конструкции
Обделка тоннеля
из монолитного бетона двухъярусной конструкции",,,,,,,KSI050000096
,,BM60,Конструкции обделки тоннелей тюбинговые,"Конструкции обделки тоннелей, выполненные из одинаковых элементов сплошного или ребристого сечения: тюбингов",,ГОСТ 33152-2014,"Обделка тоннеля из чугунных тюбингов
Обделка тоннеля из  железобетонных тюбингов",,,,,,,KSI050000097
,,BM70,Конструкции обделки тоннелей блочные,"Конструкции обделки тоннелей, выполненные из одинаковых элементов сплошного или ребристого сечения: блоков",,ГОСТ 33152-2014,Обделка тоннеля из железобетонных блоков,,,,,,,KSI050000098
,,BM80,Конструкции обделки тоннелей решетчатые арочные,"Конструкции обделки тоннелей, усиленные решетчатой аркой",,ГОСТ 33152-2014,"Ребристая обделка тоннеля
из набрызг-бетона с решетчатыми арками",,,,,,,KSI050000099
,,BM90,Конструкции обделки тоннелей анкерные,Конструкции обделки тоннелей с анкерным креплением,,ГОСТ 33152-2014,"Двухслойная обделка тоннеля замкнутого очертания, усиленная
анкерами",,,,,,,KSI050000100
,BN,,Специальная конструктивная система,"Конструктивная система, выполняющая конкретную специальную функцию",По типу системы,,,IfcBuildingSystem,,,,,,KSI050000101
,,BN10,Система преднапряжения,"Конструктивная система, обоеспечивающая контролируемое создание постоянных усилий и деформаций в конструкции, которые будут противодействовать напряжениям, возникающим от постоянных и временных нагрузок и/или от усадки бетона путем натяжения арматурных пучков",,СТО СРО-С 60542960 00017-2014 ,Система преднапряжения защитной оболочки,,,,,,,KSI050000102
,,BN20,Система усиления конструкций,"Конструктивная система, обеспечивающая повышение несущей способности или структурной целостности конструкции",,СП 46.13330.2012,,,,,,,,KSI050000103
,BP,,Конструкции пролетных строений,"Конструкции, предназначенные для восприятия нагрузок и передачи их на опоры и грунт",,ГОСТ 22583-77,,,,,,,,KSI050000104
,BQ,,Конструкции мостового полотна ,Часть пролетного строения моста,По типу конструкции моста,,,,,,,,,KSI050000105
,,BQ10,Конструкции мостового полотна автодорожного моста,"Совокупность всех элементов, расположенных на пролетном строении, предназначенных для обеспечения нормальных условий безопасности движения транспортных средств и пешеходов, а также для отвода воды с поверхности покрытия моста и в сопряжениях с подходами. Включает в себя одежду ездового полотна, тротуары, ограждающие устройства, устройства водоотвода, обогрева, освещения, деформационные швы и сопряжения моста с подходами",,ГОСТ Р 53627-2009,"Конструкции путепровода
Конструкции эстакады",,,,,,,KSI050000106
,,BQ20,Конструкции мостового полотна железнодорожного моста,"Верхняя часть пролетного строения железнодорожного моста, воспринимающая нагрузку от колес подвижного состава и передающая ее на несущую часть пролетного строения",,Большая Российская Энциклопедия,"Мостовое полотно с ездой на балласте
Мостовое полотно на  поперечинах
Безбалластное мостовое полотно ",,,,,,,KSI050000107
,BR,,Конструкции входной части тоннеля,"Конструкции укрепления и оформления входной части тоннеля в виде рампы, портала или оголовка",По типу исполнения,ГОСТ 33152-2014,,,,,,Определение синтезировано,,KSI050000108
,,BR10,Конструкции рампы,"Заглубленный ниже уровня поверхности земли съезд или выезд автотранспортных средств, которые расположены на припортальных участках тоннеля неглубокого заложения",,ГОСТ 33152-2014,,,,,,,,KSI050000109
,,BR20,Конструкции портала,"Архитектурно оформленная конструкция входной части тоннеля, состоящая из усиленного звена тоннельной обделки и подпорных стен и обеспечивающая устойчивость лобового и боковых откосов и отвод воды",,ГОСТ 33152-2014,,,,,,,,KSI050000110
