Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,ADCD,,Административно-бытовое здание лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
 ZPG_0005
 BPG_0011
 BQ__0001
 BQ__0018 ",06.05.002.004,,,,,KSI030001747
,,,ADCE,,Здание тарного цеха лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.05.002.005,,,,,KSI030001748
,,ADD,,,Вспомогательные объекты пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.003.,,,,,KSI030001749
,,,ADDA,,Административно-бытовое здание пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.003.001,,,,,KSI030001750
,,,ADDB,,Здание лаборатории пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.003.002,,,,,KSI030001751
,,,ADDC,,Здание (сооружение) производственно-технического назначения пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018 
BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 
BQ__0001",06.05.003.003,,,,,KSI030001752
,,,ADDE,,Здание цеха товарной переработки и фасовки пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.05.003.005,,,,,KSI030001754
,,ADE,,,Вспомогательные объекты растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.004.,,,,,KSI030001756
,,,ADEB,,Здание ремонтного цеха объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018 
BPG_0005",06.05.004.002,,,,,KSI030001758
,,,ADEC,,Сооружение весовой объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPF_0003 
BPG_0005",06.05.004.003,,,,,KSI030001759
,,,ADEF,,Здание цеха фасовки растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011",06.05.004.006,,,,,KSI030001762
,,,ADEG,,Здание лаборатории растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001 
BQ__0018 
BQ__0005 
ZPG_0005 
BPG_0005",06.05.004.007,,,,,KSI030001763
,,,ADEH,,Здание цеха приготовления субстрата и покровной земли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001 
BQ__0005 
BH__0011 
ZPG_0005 
BPG_0005 
BPG_0011 ",06.05.004.008,,,,,KSI030001764
,,,ADEJ,,Здание кордона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,06.05.004.009,,,,,KSI030001765
,,,ADEK,,"Здание цеха для приемки, хранения и отгрузки растениеводства",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 
BQ__0001 
XPW_0007",06.05.004.010,,,,,KSI030001766
,,,ADEM,,Административно-бытовое здание растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001 
BQ__0018 
ZPG_0005 
BPG_0005 
BQ__0005",06.05.004.012,,,,,KSI030001768
,AE,,,,Пищевая промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.03.,,,,,KSI030000171
,,AEA,,,"Объекты производства мясной, рыбной, молочной и масложировой продукции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.03.005.,,,,,KSI030000172
,,,AEAA,,Здание цеха по производству масложировой продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.003,,,,,KSI030000173
,,,AEAB,,Здание цеха по производству молочной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.004,,,,,KSI030000174
,,,AEAC,,Здание цеха по переработке и производству мясной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.001,,,,,KSI030000175
,,,AEAD,,Здание цеха по переработке и производству рыбной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.002,,,,,KSI030000206
,,AEB,,,"Объекты производства готовых блюд, консервов и полуфабрикатов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.03.001.,,,,,KSI030000176
,,,AEBA,,Здание цеха по производству консервов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.002,,,,,KSI030000177
,,,AEBB,,Здание цеха по производству блюд быстрого приготовления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.001,,,,,KSI030000178
,,,AEBC,,Здание фабрики-кухни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.004,,,,,KSI030000195
,,,AEBD,,Здание цеха по производству полуфабрикатов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.003,,,,,KSI030000196
,,AEC,,,Объекты производства алкогольной и безалкогольной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.03.002.,,,,,KSI030000179
