Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,MFA,,,Объекты производства подъемно-транспортного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.09.001.,,,,,KSI030000245
,,,MFAA,,Здание цеха по производству грузовых и пассажирских лифтов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.001.001,,,,,KSI030001554
,,,MFAB,,"Здание цеха по производству навесного оборудования подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.001.002,,,,,KSI030001555
,,MFB,,,Объекты производства средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.09.002.,,,,,KSI030001556
,,,MFBA,,Здание малярно-сдаточного цеха средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.001,,,,,KSI030001557
,,,MFBB,,Здание цеха по производству конвейеров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.002,,,,,KSI030001558
,,,MFBC,,Здание цеха по производству оборудования канатных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.003,,,,,KSI030001559
,,,MFBD,,Здание цеха по производству эскалаторов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.09.002.004,,,,,KSI030001560
,MG,,,,Вспомогательная инфраструктура отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.10.,,,,,KSI030000248
,,MGA,,,Вспомогательные объекты отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.10.001.,,,,,KSI030001569
,,,MGAA,,Здание (сооружение) для испытаний отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0055
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.001,,,,,KSI030000249
,,,MGAB,,Здание ремонтного цеха отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.003,,,,,KSI030000250
,,,MGAC,,Административно-бытовое здание отрасли производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.002,,,,,KSI030001570
,,,MGAE,,"Здание цеха по производству запасных частей, комплектующих и расходных материалов для машин и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.10.001.005,,,,,KSI030001572
,MH,,,,Кораблестроение и судостроение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.01.,,,,,KSI030000251
,,MHA,,,"Объекты производства кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.01.001.,,,,,KSI030000252
,,,MHAA,,"Здание цеха по производству кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.01.001.001,,,,,KSI030000253
,MJ,,,,Промышленность железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.06. ,,,,,KSI030001574
,,MJA,,,Объекты производства железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.06.001.,,,,,KSI030000257
,,,MJAA,,Здание цеха по производству железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.06.001.001,,,,,KSI030000259
,MK,,,,"Промышленность летательных аппаратов, включая космические",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.08.,,,,,KSI030001575
,,MKA,,,Объекты производства летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.08.001.,ВН ПН 40 10 56,,,,KSI030000274
,,,MKAA,,Здание цеха по производству летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.08.001.001,,,,,KSI030001576
,,MKB,,,Объекты ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.08.002.,,,,,KSI030001577
,,,MKBA,,Здание (сооружение) ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.08.002.001,,,,,KSI030001578
R,,,,,"Здравоохранение, спорт, физическая культура, отдых и развлечения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.,,,,,KSI030000935
,RA,,,,Лечебное обеспечение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,03.01.,,,,,KSI030000936
,,RAA,,,Больницы общего профиля,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,BQ__0019 ,03.01.001.,,,,,KSI030000937
,,,RAAA,,Здание детской клинической больницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.001.001,,,,,KSI030001625
,,,RAAB,,Здание клинической больницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.001.002,,,,,KSI030001626
,,RAB,,,Специализированные лечебно-профилактические организации,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,BF__0062,03.01.006.,,,,,KSI030000938
,,,RABA,,Здание амбулатории (офиса врача общей практики),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.001,,,,,KSI030001627
,,,RABB,,"Здание дома ребенка, в том числе специализированного",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.002,,,,,KSI030001628
,,,RABC,,Здание женской консультации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.01.006.003,,,,,KSI030001629
,,,RABD,,Здание родильного дома,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.004,,,,,KSI030001630
,,,RABE,,Здание фельдшерско-акушерского пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0006
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.01.006.005,,,,,KSI030001631
,,RAD,,,Диспансеры,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала."," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 158.13330.2014",,BQ__0019 ,03.01.002.,,,,,KSI030000940
