Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,AE,,,,Глинистые фракции,,,По виду материала,,02.1,,,,KSI170000091
,,AEA,,,Глина,"Связный минеральный грунт, обладающий числом пластичности > 17","ГОСТ 25100-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,02.1.01.01,,,,KSI170000092
,,,,AEA010,Глины тугоплавкие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"17.4.05.01
59.1.02.01",,,,KSI170000093
,,,,AEA020,Глины легкоплавкие,,,,,,,,,KSI170000094
,,AEB,,,Суглинок,Смесь песка (до 40%) с глиной (до 30%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,02.1.01.02,,Суглинки обычно включают примеси углекислого кальция и гидроокислов железа.,,KSI170000095
,,AEC,,,Супесь,Смесь песка (90%-97%) с глиной (3%-10%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,02.1.01.02,,,,KSI170000096
,,AED,,,Мергель,"Известняк, содержащий глину и представляющий собой связную и довольно твердую породу серо-зеленоватого, бурого или желтого цвета. При содержании глины в количестве 5-10% порода называется мергелистым известняком, а до 25% - известняковым мергелем и до 60% мергелем. При выветривании мергель превращается в рыхлую массу - рухляк",ЕНиР Сборник Е2. Земляные работы,По виду материала,,,,,,KSI170000097
,AF,,,,Смеси минеральные,,,По виду материала,,,,,,KSI170000098
,,,,AF010,Смесь песчано-гравийная,"Строительный материал, представляющий собой смесь песка и гравия","ГОСТ 23735-2014
ПНСТ 403-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"02.2.04.03
",,,,KSI170000099
,,,,AF020,Смесь щебеночно-песчаная,Искусственно приготовленная смесь из щебня и песка ,"ПНСТ 327-2019
ГОСТ 25607-2009
Приказ Минстроя России от 17.11.2022 N 969/пр",,,02.2.04.04,,,,KSI170000100
,,,,AF030,Смесь бентонитовая,,,,,04.3.02.14,,,,KSI170000101
,,,,AF040,Смесь керамзито-дробленная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,59.1.02.02,,,,KSI170000102
,,,,AF050,Смесь щебеночно-гравийно-песчаная,"Искусственно приготовленная смесь из щебня, гравия и песка ","ПНСТ 327-2019
ГОСТ 25607-2009",,,,,,,KSI170000103
,AG,,,,Материалы на основе горных пород,,ГОСТ 30629-2011,По виду материала,,,,,,KSI170000104
,,AGA,,,Стекло,"Аморфное тело, получаемое путем переохлаждения расплава независимо от его химического состава и температурной области затвердевания и обладающее в результате постепенного увеличения вязкости механическими свойствами твердых тел, причем процесс перехода из жидкого состояния в стеклообразное должен быть обратимым","ГОСТ 32539-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,01.8.02,"СТ 00 70
СТ 10 10 60",,,KSI170000105
