Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,,,CCCD070,Колодец универсальный пластиковый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.07,,,,,KSI160001497
,,,,,,CCCD080,Колодец кабельный полимерный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.08,,,,,KSI160001498
,,,,,,CCCD090,Комплектующее для колодцев и систем водостока и канализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.09,,,,,KSI160001499
,,,CCCE,,,,Комплектующие для бассейнов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.05.,,,,,KSI160001500
,,,,CCCEA,,,Решетки переливные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.05.01,,,,,KSI160001501
,,,,CCCEB,,,"Скиммеры, сливы, стоки",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.05.02,,,,,KSI160001502
,,,,CCCEC,,,Трубы проходные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.05.03,ЭЛ 40 15 10 10,,,,KSI160001503
,,,CCCF,,,,Комплектующие для санитарно-технических изделий,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2.06
",,,,,KSI160001504
,,,,CCCFA,,,Бачки смывные керамические,"Керамический безнапорный, накапливающий воду резервуар, наполняемый автоматически из водопроводной сети, опорожняемый вручную или автоматически для промывания чаши унитаза","ГОСТ 21485-2016
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.06.01,ЭЛ 40 50 40 60,,Определение синтезровано,,KSI160001505
,,,,CCCFB,,,Бачки смывные чугунные,"Чугунный безнапорный, накапливающий воду резервуар, наполняемый автоматически из водопроводной сети, опорожняемый вручную или автоматически для промывания чаши унитаза","ГОСТ 21485-2016
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.06.02,ЭЛ 40 50 40 60,,Определение синтезровано,,KSI160001506
,,,,CCCFC,,,Вешалки,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.03,,,,,KSI160001507
,,,,CCCFD,,,Гарнитура туалетная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.04,,,,,KSI160001508
,,,,CCCFE,,,Держатели,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.05,,,,,KSI160001509
,,,,CCCFF,,,Дозаторы для жидкого мыла,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.06,,,,,KSI160001510
,,,,CCCFG,,,Кронштейны для душа,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.06.07,ЭЛ 40 45 10 10,,,,KSI160001511
,,,,CCCFH,,,Подводки гибкие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.08,,,,,KSI160001512
,,,,CCCFJ,,,Сифоны,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.09,,,,,KSI160001513
,,,,CCCFK,,,Трапы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.06.10,,,,,KSI160001514
,,,,CCCFL,,,Трубы сливные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.06.11,ЭЛ 40 15 10 10,,,,KSI160001515
,,,CCCG,,,,Узлы укрупненные монтажные для систем водоснабжения и канализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160001516
,,,CCCH,,,,Фильтры и комплектующие для системы водоснабжения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2.08
",,,,,KSI160001517
,,,,,,CCCH010,Вставка магнитная к фильтрам,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.08.01,,,,,KSI160001518
,,,,,,CCCH020,Патрон фильтрующий,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.08.02,,,,,KSI160001519
,,,,,,CCCH030,Фильтр магнитный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.08.05,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,,,KSI160001520
,,,,,,CCCH040,Фильтр сетчатый из нержавеющей стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.08.06,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,,,KSI160001521
,,,,,,CCCH050,Фильтр сетчатый из углеродистой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.08.07,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,,,KSI160001522
,,,,,,CCCH060,Фильтр сетчатый латунный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.08.08,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,,,KSI160001523
,,,,,,CCCH070,Фильтр сетчатый чугунный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.08.09,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,,,KSI160001524
,,CCD,,,,,Материалы и изделия для системы водяного пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.3
",,,,,KSI160001525
,,,CCDA,,,,"Рукава, стволы и головки для рукавов",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.3.01
",,,,,KSI160001526
,,,,,,CCDA010,Головки соединительные и нагнетательные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.3.01.01,,,,,KSI160001527
,,,,,,CCDA020,Рукав пожарный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.3.01.02,,,,,KSI160001528
,,,,,,CCDA030,Рукав поливочный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.3.01.03,,,,,KSI160001529
,,,,,,CCDA040,Ствол пожарный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.3.01.04,,,,,KSI160001530
,,,CCDB,,,,Шкафы и щиты пожарные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.3.02
",,,,,KSI160001531
,,,,,,CCDB010,Комплект пожарного оборудования,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.3.02.01,,,,,KSI160001532
,,,,,,CCDB020,Шкаф пожарный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.3.02.02,ЭЛ 40 50 60 50,,,,KSI160001533
,,CCE,,,,,Изделие для систем теплоснабжения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"18.5
",ЭЛ 40 25,,,,KSI160001534
,,,CCEA,,,,Грязевик,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"18.5.05
",ЭЛ 40 15 20 15,,,,KSI160001535
,,,,,,CCEA010,Грязевик из стальных труб и толстолистовой стали,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.05.01,,,,,KSI160001536
,,,,,,CCEA020,Грязевик из стальных электросварных и водогазопроводных труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.05.02,,,,,KSI160001537
,,,CCEB,,,,Конвекторы отопительные,"Отопительный прибор, отдающий теплоту преимущественно за счет свободной конвекции.
Конвектор, как правило, состоит из нагревательного элемента и кожуха, образующего необогреваемый канал для естественной конвекции","ГОСТ 31311-2022 
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.5.06,ЭЛ 40 25 10 15,,,,KSI160001538
,,,CCEC,,,,Конденсатоотводчики и комплектующие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.5.07
",,,,,KSI160001539
,,,,,,CCEC010,Бак конденсационный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.5.07.01,ЭЛ 40 50 10 11,,,,KSI160001540
,,,,,,CCEC020,Конденсатоотводчик,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.5.07.02,ЭЛ 40 15 30 70,,,,KSI160001541
,,,,,,CCEC030,Сборник конденсата,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.07.03,,,,,KSI160001542
,,,,,,CCEC040,Трубка отвода конденсата,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.07.04,,,,,KSI160001543
,,,,,,CCEC050,Узел выкидных труб конденсатосборника,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.07.05,,,,,KSI160001544
,,,CCED,,,,Изделия комплектующие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.5.08
",,,,,KSI160001545
,,,,,,CCED010,Арматура присоединительная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.01,,,,,KSI160001546
,,,,,,CCED020,Вантуз,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.02,,,,,KSI160001547
,,,,,,CCED030,Гильза защитная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.03,,,,,KSI160001548
,,,,,,CCED040,Ковер,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.04,,,,,KSI160001549
,,,,,,CCED050,Кронштейн для крепления радиаторов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.5.08.05,ЭЛ 40 45 10 10,,,,KSI160001550
,,,,,,CCED060,Панель щитка для контрольно-измерительных приборов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.5.08.08,ЭЛ 40 55 10 20,,,,KSI160001551
,,,,,,CCED070,Патрубок,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.09,,,,,KSI160001552
,,,,,,CCED080,Плита монтажная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.11,,,,,KSI160001553
,,,,,,CCED090,Секция водоподогревателей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.5.08.12,,,,,KSI160001554
