Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,ABDB,,,,Элемент опорного кольца наружного,,,,,,,,,,KSI160000091
,,ABE,,,,,Диафрагма жесткости,"Плоский вертикальный несущий элемент консольного типа, предназначенный для обеспечения пространственной жесткости здания путем восприятия горизонтальных нагрузок и передачи усилий на фундамент","СП 356.1325800.2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,05.1.04.02,,,,,KSI160000092
,,ABF,,,,,Объемный блок,"Конструктивный монтажный элемент, изготовленный в заводских условиях, являющийся частью объема здания (санитарно-техническая кабина, элементы лифтовых шахт и т.п.)","ГОСТ 18048-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,,KSI160000093
,AC,,,,,,Элементы стеновых конструкций зданий,,,,,,,,,,KSI160000094
,,ACA,,,,,"Кирпич, камни, блоки, перемычки",,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,"05.2.03
05.1.03.09
05.1.03.10
05.1.03.11
05.1.03.16
01.5.03.01
01.7.10.03
",СТ 10 07 20,,,,KSI160000095
,,,ACAA,,,,Камень бетонный стеновой,"Камень, изготовленный вибропрессованием, прессованием, формованием или другими способами из легкого, тяжелого и мелкозернистого бетонов, применяемый при возведении стен и других конструкций зданий и сооружений различного назначения","ГОСТ 6133-2019
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.2.03.01
05.2.03.02
",СТ 10 10 50 50,,Определение синтезировано,,KSI160000096
,,,ACAB,,,,Кирпич и камни силикатные,,ГОСТ 379-2015,,,"05.2.03.06
05.2.03.08
05.2.03.13",,,,,KSI160000097
,,,,ACABA,,,Кирпич силикатный полнотелый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.03.14
05.2.03.16",,,,,KSI160000098
,,,,ACABB,,,Камень силикатный пустотелый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.2.03.08,,,,,KSI160000099
,,,,ACABC,,,Одинарный кирпич силикатный пустотелый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.03.18
05.2.03.15",,,,,KSI160000100
