Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,,,BDED050,Машинист распределителя цемента гравитационного прицепного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14115,,,,KSI190000148
,,,,BDED060,Машинист растворонасоса,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14117,,,,KSI190000149
,,,,BDED070,Машинист растворосмесителя передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14119,,,,KSI190000150
,,,BDEE,,Машинист погрузочно-разгрузочной машины,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000151
,,,,BDEE010,Машинист автомобилеразгрузчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13527,,,,KSI190000152
,,,,BDEE020,Машинист вагоноопрокидывателя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13598,,,,KSI190000153
,,,,BDEE030,Машинист перегружателя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13977,,,,KSI190000154
,,,BDEF,,Машинист машины дорожно-строительного комплекса,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000155
,,,,BDEF010,Машинист машины для укладки дорожных бордюров,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000156
,,,,BDEF020,Машинист машины для устройства защитных шероховатых слоев дорожных покрытий,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000157
,,,,BDEF030,Машинист машины для устройства укрепительных полос,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13860,,,,KSI190000158
,,,,BDEF040,Машинист машины для устройства швов при выполнении дорожных работ,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13862,,,,KSI190000159
,,,,BDEF050,Машинист маркировочной машины для разметки автомобильных дорог,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13832,,,,KSI190000160
,,,,BDEF060,Машинист уплотняющей и планировочно-уплотняющей машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14291,,,,KSI190000161
,,,,BDEF070,Машинист автогудронатора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13511,,,,KSI190000162
,,,,BDEF080,Машинист планировщика,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000163
,,,,BDEF090,Машинист профилировщика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14082,,,,KSI190000164
,,,,BDEF100,Машинист катков самоходных и полуприцепных на пневматических шинах,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13753,,,,KSI190000165
,,,,BDEF110,Машинист катка самоходного с гладкими вальцами,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13755,,,,KSI190000166
,,,,BDEF120,Машинист смесителя асфальтобетона передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14199,,,,KSI190000167
,,,,BDEF130,Машинист укладчика асфальтобетона,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14288,,,,KSI190000168
,,,,BDEF140,Машинист фрезы дорожной,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000169
,,,,BDEF150,Машинист щебнераспределителя,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000170
,,,,BDEF160,Машинист ремиксера,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000171
,,,,BDEF170,Машинист ресайклера (холодного),,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000172
,,,,BDEF180,Машинист финишера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14324,,,,KSI190000173
,,,,BDEF190,Машинист машины для нанесения пленкообразующей жидкости,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13856,,,,KSI190000174
,,,,BDEF200,Машинист автобетонолома,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13503,,,,KSI190000175
,,,,BDEF210,Машинист ледорезной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13817,,,,KSI190000176
,,,,BDEF220,Машинист заливщика швов,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000177
,,,,BDEF230,Машинист нарезчика швов самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13904,,,,KSI190000178
,,,BDEG,,Машинист машины для строительства и ремонта трубопроводов,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000179
,,,,BDEG010,Машинист машины для изоляции газонефтепродуктопроводов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13853,,,,KSI190000180
,,,,BDEG020,Машинист трубоочистительной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14275,,,,KSI190000181
