c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0008,,,,,Улица,XLA_0008,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 60,,"<RZo>
<CCo>
<Cen>",,,KSI210000124
,,,,0009,,,,,Дом,XLA_0009,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 70,,"<RZo>
<CCo>
<Cen>",,,KSI210000125
,,,,0010,,,,,"Корпус, строение",XLA_0010,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 20 10 80
ПР 10 25 10",,"<RZo>
<CCo>
<Cen>",,,KSI210000126
,,,,0011,,,,,Квартира,XLA_0011,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000127
,,,,0012,,,,,Подъезд,XLA_0012,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000128
,,,,0013,,,,,Номер телефона,XLA_0013,,,Числовой,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000129
,,,,0014,,,,,Поселок,XLA_0014,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000130
,,,,0015,,,,,Поселок городского типа,XLA_0015,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000131
,,,,0016,,,,,Деревня,XLA_0016,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000132
,,,U,,,,,Пользовательские,,XLAU_,,,,,,,,,,,KSI210000133
,,L,,,,,Локальное расположение,,,XLL_,,,,,,,,,,,KSI210000134
,,,,0001,,,,,Положение,XLL_0001,,,Из списка,"внешнее/наружное;  
внутреннее;  
вертикальное; 
горизонтальное;  
одностороннее;  
двустороннее; 
над; 
под; 
отдельностоящее; ",,,,,,,KSI210000135
,,,,0002,,,,,Координаты,XLL_0002,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 40 14
ПР 10 40 16
ПР 10 40 22
ПР 10 40 24
ПР 10 40 30
ПР 10 40 32",,,,,KSI210000136
,,,,0003,,,,,Километраж,XLL_0003,,,Текстовый,,,,,,,,KSI210000137
,,,,0004,,,,,Отметка земли,XLL_0004,,,Текстовый,,,,,,,,KSI210000138
,,,,0005,,,,,Высотная отметка,XLL_0005,,,Числовой,,,,,,,,KSI210000139
,,,,0006,,,,,Отметка дна,XLL_0006,,,Текстовый,,,,,,,,KSI210000140
,,,,0007,,,,,Отметка верха,XLL_0007,,,Текстовый,,,,,,,,KSI210000141
,,,,0008,,,,,Отметка нуля проекта,XLL_0008,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 10,,,,,KSI210000142
,,,,0009,,,,,Отметка уровня земли планировочная,XLL_0009,Геодезическая отметка уровня поверхности земли на границе с отмосткой здания,СП 54.13330.2022,Текстовый,,,ПР 10 40 12,,,,,KSI210000143
,,,,0010,,,,,Отметка уровня точки съемки,XLL_0010,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 18,,,,,KSI210000144
,,,,0011,,,,,Угол от истинного севера точки съемки,XLL_0011,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 20,,,,,KSI210000145
,,,,0012,,,,,Отметка уровня базовой точки,XLL_0012,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 40 26,,,,,KSI210000146
,,,,0013,,,,,Номер секции,XLL_0013,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Числовой,,,ПР 10 25 12,,,,,KSI210000147
,,,,0014,,,,,Номер этажа,XLL_0014,,,Числовой,,,,,,,,KSI210000148
,,,,0015,,,,,Километр трассы,XLL_0015,,,Числовой,,,,,,,,KSI210000149
,,,,0016,,,,,Расстояние,XLL_0016,Степень (мера) удаленности объектов друг от друга,,Числовой,,,,,,,,KSI210000150
,,,,0017,,,,,Подземная часть,XLL_0017,,,Логический,,,,,,,,KSI210000151
,,,,0018,,,,,Наземная часть,XLL_0018,,,Логический,,,,,,,,KSI210000152
,,,,0019,,,,,Надземная часть,XLL_0019,,,Логический,,,,,,,,KSI210000153
,,,U,,,,,Пользовательские,,XLLU_,,,,,,,,,,,KSI210000154
,,C,,,,,Климатические,,,XLC_,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ПР 10 45,,,,,KSI210000155
,,,,0001,,,,,Глубина промерзания ,XLC_0001,Расстояние от земной поверхности до нижней границы промерзшего за зимний период грунта.,СП 78.13330.2012,Числовой,,,,,,,,KSI210000156
,,,,0002,,,,,Климатический район,XLC_0002,"Район строительства с комплексным сочетанием средней месячной температуры воздуха в январе и июле, средней скорости ветра за три зимних месяца, средней месячной относительной влажности воздуха в июле 
","СП 131.13330.2020
",Из списка,"I; 
II; 
III; 
IV",,ПР 10 45 10,,,,,KSI210000157
