Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,BCA,,,Здание (сооружение) объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха очистки и обогащения серы
Здание цеха обогащения сырья
Шахта по добычи сырья для химической промышленности и производства минеральных удобрений","08.02.003.001
08.02.003.002
08.02.002.001",,,,
,,BCB,,,Здание (сооружение) объектов добычи соли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха дробления и очистки соли от примесей
Сооружение шахты добычи соли","08.02.003.001
08.02.002.001",,,,
,,BCC,,,Здание (сооружение) объектов добычи инертных материалов для строительства,"Совокупность горных выработок, образованных при добыче твердых полезных ископаемых открытым способом",СП 103.13330.2012,,Сооружение карьера,"08.02.001.001
",,,,
,BD,,,,Объекты добычи природного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.05.,,,,
,,BDA,,,Здание (сооружение) объектов добычи природного газа и конденсата,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание лаборатории для анализа проб продукции газовых скважин
Сооружение берегового технологического комплекса
Сооружение куста газовых скважин (газового месторождения)","08.08.001.002
 08.05.001.006
08.05.001.007
08.05.001.008",,,,
,,BDB,,,Здание (сооружение) объектов переработки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание центрального пункта управления
Сооружение компрессорной станции сжатого воздуха с установкой осушки для нужд КИП","08.08.001.011
08.05.001.002 ",,,,
,,,BDBA,,Сооружение коллектора трубопровода ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,08.05.001.010,,,,
,,,BDBB,,Сооружение компрессорной станции сжатого воздуха с установкой осушки для нужд КИП ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,08.05.001.002,,,,
,,BDC,,,"Здание (сооружение) объектов сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание операторной при транспорте газа
Сооружение дожимной компрессорной станции
Сооружение компрессорной станции внешнего транспорта газа
Сооружение промыслового трубопровода газовых месторождений","08.08.001.011
08.05.001.002
08.05.001.003
08.05.001.010",,,,
,,,BDCA,,Сооружение пункта предварительной подготовки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,08.05.001.011,,,,
,,BDD,,,Здание производственной базы при добыче газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание базы производственного обслуживания вышкомонтажной конторы (БПО ВМК) при добыче газа
Здание базы производственного обслуживания нефтегазодобывающего управления (БПО НГДУ) при добыче газа
Здание промыслово-геофизической базы","
08.08.003.001
08.08.003.002
08.08.003.003",,,,
,BE,,,,Объекты добычи сырой нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.06.,,,,
,,BEA,,,Здание (сооружение) объектов добычи сырой нефти из скважин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.06.002.,,,,
,,,BEAA,,Нефтенасосная станция (дожимная),,СП 18.13330.2019,,,08.06.002.002,,,,
,,,BEAB,,"Центральный пункт сбора и подготовки нефти, газа и воды",,СП 18.13330.2019,,,"08.06.002.010
08.06.002.004",,,,
,,,BEAC,,Компрессорные станция перекачки нефтяного газа,,СП 18.13330.2019,,,08.06.002.005,,,,
,,,BEAD,,Установка компрессорного газлифта,,СП 18.13330.2019,,,08.06.002.099,,,,
,,,BEAE,,Измерительная установка нефтяных и газовых производств,,СП 18.13330.2019,,,08.06.002.001,,,,
,,,BEAF,,Кустовая насосная станция для заводнения нефтяных пластов,,СП 18.13330.2019,,,08.06.001.004,,,,
,,BEB,,,"Здание (сооружение) объектов подготовки нефти, газа и воды",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение для улавливания нефтяных газов, выбрасываемых из технологического оборудования
Сооружение компрессорной газа при подготовке нефти и газа
Сооружение концевой ступени сепарации при подготовке нефти и газа",08.06.002.010,,,,
,,BEC,,,Здание (сооружение) объектов поддержания пластового давления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение водовода высокого давления
Сооружение водораспределительного пункта при добыче нефти и газа
Сооружение газопровода высокого давления
Сооружение компрессорной станции для газлифтной добычи нефти и закачки в пласт газа высокого давления","12.01.004.002 
08.06.001.002 
08.06.001.001
08.06.001.003 
08.06.001.004",,,,
,,BED,,,Здание (сооружение) объектов сбора и транспорта нефти и нефтяного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Водозаборное сооружение из артезианской скважины
Здание операторной при транспорте нефти и нефтяного газа
Сооружение групповой распределительной гребенки при транспорте нефти и нефтяного газа","08.06.001.003
08.08.001.011
08.08.001.001
12.01.002.004
",,,,
