Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ADG,,,Тельфер,Подвесное грузоподъемное устройство (таль) с электрическим приводом,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.08,ТО 16 22,Определение синтезировано
,,ADH,,,Вышка телескопическая,"Устройство для подъёма и перемещения рабочих с инструментом и материалами и используемый при монтаже и обслуживании линий электропередач, линий связи и контактных сетей, ремонте и обслуживании зданий и сооружений, обслуживании средств наружной рекламы, уходе за городскими зелёными насаждениями и т. п","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.09-001 ,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано
,,ADJ,,,Люлька самоподъемная,Оборудование для работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.06.09-021
91.06.09-022
91.06.09-581",ТО 16 28,Определение синтезировано
,,ADK,,,Машина для выдачи пучка арматуры,"Машина, применяемая при производстве железобетонных изделий, предназначенная для изготовления и монтажа элементов армирования",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.06.09-041,,Определение синтезировано
,,ADL,,,Подмости самоходные,"Специальное сооружение, которое служит опорой во время работы",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.06.09-061,,Определение синтезировано
,,ADM,,,Постамент с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на постамент",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.06.09-071,,Определение синтезировано
,,ADN,,,Опалубка скользящая,"Опалубка, конструкция которой перемещается вертикально домкратами по мере бетонирования монолитной конструкции и которая состоит из щитов, домкратных рам, домкратных стержней, подъемных механизмов (домкратов, насосных или других подъемных станций) и технологических элементов (рабочий пол, подмости).","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Скользящая опалубка для строительства монолитных железобетонных труб
Скользящая опалубка для возведения железобетонных оболочек градирен",91.06.09-091,ТО 20 70 10 04,ГОСТ 34329-2017
,,ADP,,,Стрела монтажная А-образные для подъема опор ВЛ,"Конструкция, использующаяся для подъема и установки собранных опор ЛЭП из горизонтального положения в вертикальное путем поворота вокруг шарнира монтажной стрелы, соединенной с монтируемыми опорами",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.06.09-101,,Определение синтезировано
,,ADQ,,,Транспортное устройство с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на транспортное средство",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,ADR,,,Вышка (подмости) для внутренних работ,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Подмости самоходные,,"ТО 16 12 10 08
ТО 36 10 30 05",Определение синтезировано
