Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
,,,,BDEM010,Машинист малярной станции передвижной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13830,,
,,,,BDEM020,Машинист штукатурной станции передвижной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14379,,
,,,,BDEM030,Машинист газогенераторной станции,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13650,,
,,,BDEN,,Машинист агрегата,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEN010,Машинист агрегата безвоздушного распыления высокого давления,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13534,,
,,,,BDEN020,"Машинист мобильного комплекса, оснащенного агрегатами для приготовления растворов и цементо- бетонных смесей",,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEN030,Машинист электросварочного передвижного агрегата с двигателем внутреннего сгорания,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14411,,
,,BDF,,,Моторист,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDF010,Моторист механической лопаты,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14720,,
,,,,BDF020,Моторист электродвигателей,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14757,,
,,BDG,,,Оператор,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDG010,Оператор акустических испытаний,,Постановление Госстандарта РФ от 26.12.1994 N 367,,15503,,
,,,,BDG020,Оператор заправочных станций,,Постановление Госстандарта РФ от 26.12.1994 N 367,,15594,,
,,,,BDG030,Оператор механизированных и автоматизированных складов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,15705,,
,,,,BDG040,Оператор осциллографирования и тензометрирования,,Постановление Госстандарта РФ от 26.12.1994 N 367,,15778,,
,,,,BDG050,Оператор платформы подъемной,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
