Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,CD,,,,Демонтаж деревянных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000118
,,CDA,,,Демонтаж деревянных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000119
,,CDB,,,Демонтаж деревянных балок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000120
,,CDC,,,Демонтаж деревянных рам,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000121
,,CDD,,,Демонтаж деревянных щитов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000122
,,CDE,,,Демонтаж деревянных подкосов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000123
,,CDF,,,Демонтаж деревянных стоек,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000124
,,CDG,,,Демонтаж деревянных свай,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000125
,,CDH,,,Демонтаж деревянных стропил,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000126
,,CDJ,,,Демонтаж деревянных плит,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000127
D,,,,,"Утилизация материалов и конструкций, полученных в результате сноса зданий и сооружений","Использование отходов для производства товаров (продукции), выполнения работ, оказания услуг, включая повторное применение отходов, в том числе повторное применение отходов по прямому назначению (рециклинг), их возврат в производственный цикл после соответствующей подготовки (регенерация), а также извлечение полезных компонентов для их повторного применения (рекуперация)","СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,,,KSI150000128
,DA,,,,Утилизация бетонных и железобетонных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000129
,,DAA,,,Техническое диагностирование на кондиционные и некондиционные материалы,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000130
,DB,,,,Переработка некондиционных железобетонных изделий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000131
,,DBA,,,Предварительное разрушение изделий с отделением арматуры,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000132
,,DBB,,,Окончательное вторичное дробление отделенной массы бетона на стандартных дробильных установках,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000133
,DC,,,,Утилизация арматуры железобетонных конструкций и некондиционных элементов стальных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000134
,,DCA,,,Снятие арматуры и закладных изделий с установки первичного разрушения бетона,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000135
,,DCB,,,Измельчение арматуры на мерные куски путем огневой резки или с помощью гидравлических или аллигаторных ножниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000136
,,DCC,,,Извлечение остатков арматуры и закладных изделий из дробленого бетона,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000137
,DD,,,,Переработка материалов кирпичных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,,,KSI150000138
,DE,,,,Переработка и утилизация некондиционных деревянных изделий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,,,KSI150000139
,DF,,,,Переработка и утилизация других строительных материалов ненесущих конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000140
,,DFA,,,Переработка стеклобоя,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000141
,,,DFAA,,Переработка путем дробления и помола,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000142
,,DFB,,,Переработка отходов утеплителя,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000143
,,,DFBA,,Первичное дробление в молотковой дробилке (размеры частиц менее 8 мм),,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000144
,,,DFBB,,Вторичное дробление в стержневой мельнице до размеров частиц (0-1 мм),,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000145
,,DFC,,,Переработка битумных кровельных отходов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000146
,,,DFCA,,Термическая обработка при температуре 280°С-300°С в специальных котлах,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000147
,DG,,,,Вывоз материалов на полигоны ТБО,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 ",,,,,KSI150000148
E,,,,,Рекультивация территории,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 ",По виду работ,,,,KSI150000149
,EA,,,,Предотвращение загрязнения почвенного слоя маслами и горючим при эксплуатации строительных машин,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000150
,EB,,,,Срез плодородного слоя почвы,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000151
,EC,,,,Временное хранение срезанного плодородного слоя почвы с целью дальнейшего использования при рекультивации земельного участка,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000152
,ED,,,,"Защита деревьев и кустарников, не подлежащих вырубке или пересадке, от повреждения при работе строительных машин",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000153
,EE,,,,Защита водных объектов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000154
,EF,,,,Вывоз отработанного и загрязненного грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000155
,EG,,,,Восстановление существующих и посадка новых кустарников и деревьев,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000156
,EH,,,,Привоз нового грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000157
,EJ,,,,Использование по назначению годного растительного грунта,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000158
F,,,,,Строительный контроль и надзор за выполнением работ по сносу зданий и сооружений,,Постановление Правительства РФ от 21.06.2010 N 468,По виду работ,,,,KSI150000159
,FA,,,,"Проверка качества строительных материалов, изделий, конструкций и оборудования","Деятельность, направленная на обеспечение качества производимых работ путем контроля соответствия выполняемых работ и применяемых материалов, изделий и конструкций требованиям проектной документации, норм и правил",Постановление Правительства РФ от 21.06.2010 N 468,,,,,KSI150000160
,FB,,,,Проверка соблюдения установленных норм и правил складирования и хранения применяемой продукции,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",Постановление Правительства РФ от 21.06.2010 N 468,,,,,KSI150000161
,FC,,,,Проверка соблюдения последовательности и состава технологических операций при осуществлении сноса (демонтажа) объекта капитального строительства,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",Постановление Правительства РФ от 21.06.2010 N 468,,,,,KSI150000162
,FD,,,,Приемка законченных видов (этапов) работ,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",Постановление Правительства РФ от 21.06.2010 N 468,,,,,KSI150000163
,FE,,,,Проверка совместно с заказчиком соответствия законченного процесса сноса (демонтажа) объекта,"Поэтапное освидетельствование соответствия проекту выполненных строительных и монтажных работ, а также их качества с составлением акта или фиксацией факта приемки в журнале работ",Постановление Правительства РФ от 21.06.2010 N 468,,,,,KSI150000164
