Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,RN,,,дроссель,"объект, осуществляющий ограничение управляемого потока материи",ISO 81346-2:2019,Вид потока и метод,,,,,,,,KSI060000535
,,RNA,,регулирующий жидкостный клапан,"ограничитель потока жидкости при помощи регулируемых средств
-
Регулирующая арматура, конструктивно выполненная в виде клапана","ГОСТ 24856-2014
",,IfcValve,REGULATING,,"ЭЛ 40 15 30 20
ЭЛ 40 15 30 40",,,,KSI060000536
,,,RNA010,редукционный клапан,,ГОСТ 24856-2014,,,,,,,,,KSI060001053
,,RNB,,регулирующий воздушный клапан,ограничитель потока газа при помощи регулируемых средств,Большая строительная энциклопедия stroi.gov.ru,,IfcDamper,CONTROLDAMPER,,"ЭЛ 40 15 30 40
ЭЛ 40 20 40 14",,,,KSI060000537
,,,RNB010,клапан воздушный,,ГОСТ 22270-2018,,,,,,,,,KSI060001093
,,RNC,,клапан для регулирования потока твердых веществ,ограничитель потока твердых веществ при помощи регулируемых средств,Большая строительная энциклопедия stroi.gov.ru,,IfcDamper,CONTROLDAMPER,,ЭЛ 40 15 30 40,,,,KSI060000538
,,RND,,диффузор,"ограничитель потока при помощи фиксированных средств
-
Конусное расширение трубопровода с прямолинейной или криволинейной образующей","ГОСТ 8.586.2-2005
",,IfcAirTerminal ,DIFFUSER,,ЭЛ 40 20 30 30,,,,KSI060000539
,,RNE,,клапан балансировочный,,ГОСТ Р 70338-2022,,,,,,,,,KSI060001092
,RQ,,,"объект, ограничивающий воздействие окружающей среды","объект, ограничивающий воздействие окружающей среды",ISO 81346-2:2019,Вид эффекта и применяемый метод,,,,ЭЛ 10 30 10,,,,KSI060000540
,,RQA,,тепло- и звукоизоляция,"объект, ограничивающий воздействие окружающей среды путем ограничения передачи тепла или звука",,,IfcCovering,,,,,,,KSI060000541
,,,RQA10,теплоизоляция,"объект, ограничивающий воздействие окружающей среды путем ограничения передачи тепла",Большая строительная энциклопедия stroi.gov.ru,,IfcCovering,INSULATION,,"ЭЛ 20 30 48
ЭЛ 30 32 20",,,,KSI060000542
