Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,,BJ20,Конструкции береговых опор,"Конструкции крайних опор моста в сопряжении его с геомассивом берегового склона и подходной насыпи, воспринимающие нагрузки от пролетного строения и переходной плиты и давления грунта геомассива берегового склона и насыпи",,ГОСТ 16504-81,Устой,,,,
,BM,,Конструкции обделки тоннелей,"Постоянная несущая конструкция, воспринимающая внешние нагрузки, ограждающая тоннель и образующая его внутреннюю поверхность",По типу исполнения,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BM10,Конструкции обделки тоннелей из набрызг бетона,"Конструкции обделки тоннелей, выполненные из набрызг бетона",,ГОСТ 16504-81,,,,,
,,BM20,Конструкции обделки тоннелей из монолитного железобетона,"Конструкции обделки тоннелей, выполненные из монолитного железобетона",,ГОСТ 16504-81,,,,,
,,BM30,Конструкции обделки тоннелей из сборного железобетона,"Конструкции обделки тоннелей, выполненные из сборного железобетона",,ГОСТ 16504-81,,,,,
,,BM40,Конструкции обделки тоннелей с комбинированной обделкой,Конструкции обделки тоннелей с комбинированной обделкой,,ГОСТ 16504-81,,,,,
,BN,,Специальная конструктивная система,"Конструктивная система, выполняющая конкретную специальную функцию",По типу системы,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BN10,Система преднапряжения,"Конструктивная система, обеспечивающая постоянное воздействие на строительные конструкции, вызванного регулируемыми силами и/или контролируемой деформацией конструкций",,,Система преднапряжения защитной оболочки,,,,
,,BN20,Система усиления,"Конструктивная система, обеспечивающая повышение несущей способности или структурной целостности конструкции",,,,,,,
,BP... BZ,,Зарезервировано,,,,,,,,
C_,,,Наземная строительная система,"Строительная система, формирующая наземные участки",,ГОСТ 16504-81,,,,,
,CA,,Конструкции основания,"Наземная строительная система, обеспечивающая поддержку других строительных конструкций",По типу устройства,ГОСТ 16504-81,,IfcSystem,,,
,,CA10,Грунтовая подушка,Конструкции из уплотненных слоев малосжимаемых грунтов,,,,,,,
,,CA20,Шпунтовое ограждение,Водонепроницаемые замкнутые конструкции из погружаемых шпунтовых свай для ограждения места устройства фундамента на естественном основании или ростверка свайного фундамента,,ГОСТ 16504-81,,,,,
,,CA30,Армированные конструкции основания,Конструкции основания с внедрением дополнительных высокопрочных элементов для обеспечения требуемых характеристик основания,,,,,,,
,,CA40,Конструкции противофильтрационной завесы,"Преграда, устраиваемая в грунтовом массиве и прорезающая водоносные горизонты с целью исключения или снижения водопритоков к подземному сооружению",,ГОСТ 16504-81,,,,,
,CB,,Конструкции наземного покрытия,Наземная строительная система твердых покрытий наружных зон,,ГОСТ 16504-81,"Спортивное покрытие
Аэродромное покрытие",IfcSystem,,,
,CC,,Конструкции участков разделения транспортных потоков,"Наземная строительная система, обеспечивающая разделение транспортных потоков",,ГОСТ 16504-81,Круговое движение (кольцевая развязка транспорта),IfcSystem,,,
,CD,,Конструкции дорожной обочины,"Наземная строительная система, предназначенная для формирования прилегающей к дороге зоны безопасности",,ГОСТ 16504-81,"Обочина грунтовая
Обочина укрепленная",IfcSystem,,,
,CE,,Конструкции основания железнодорожных путей,"Наземная строительная система, являющаяся основанием для железнодорожных путей",,ГОСТ 16504-81,Насыпь,IfcSystem,,,
,CF,,Конструкции системы озеленения,"Наземная строительная система, предназначенная для устройства озеленения",,ГОСТ 16504-81,,IfcSystem,,,
,CG,,Конструкции водохозяйственных сооружений,"Наземная строительная система, предназначенная для транспортирования, хранения или фильтрации воды, или для организации пространства вдоль или над водоемом",,ГОСТ 16504-81,"Откос канала
Водовод",IfcSystem,,,
