Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,CFBE,,Измерение направлений течений воды,,"СП 11-103-97
СБЦ",,,
,,CFC,,,Инженерно-метеорологические изыскания,,"СП 11-103-97
СБЦ",По виду работ,,
,,,CFCA,,Сбор материалов наблюдательной сети,,"СП 11-103-97
СБЦ",,,
,CG,,,,Поиск и разведка подземных вод для целей водоснабжения,,"СП 11-103-97
СБЦ",,,
,CH,,,,Разведка грунтовых строительных материалов,,"СП 11-103-97
СБЦ",,,
,CJ,,,,Отбор проб,,"СП 11-103-97
СБЦ",,,
D,,,,,Обмерные работы,,"СП 11-103-97
СБЦ",По виду работ,,
,DA,,,,Проведение схематических обмеров,,"СП 11-103-97
СБЦ",,,
,DB,,,,Проведение архитектурных обмеров,,"СП 11-103-97
СБЦ",,,
,DC,,,,Проведение архитектурно-археологических обмеров,,"СП 11-103-97
СБЦ",,,
,DD,,,,Обмерная фотофиксация,,"СП 11-103-97
СБЦ",,,
,DE,,,,Проведение фотограмметрических обмеров,,"СП 11-103-97
СБЦ",,,
,DF,,,,Проведение геодезического обмера,,"СП 11-103-97
СБЦ",,,
,DG,,,,Проведение натурных обмеров,,"СП 11-103-97
СБЦ",,,
,DH,,,,Лазерное сканирование для обмерных работ,,"СП 11-103-97
СБЦ",,,
E,,,,,Проведение исследований,,"СП 11-103-97
СБЦ",По способу проведения работ,,
,EA,,,,Проведение геотехнического исследования,,"СП 11-103-97
СБЦ",По виду работ,,
,,EAA,,,Проведение специальных исследований характеристик грунтов,,"СП 11-103-97
СБЦ",,,"По отдельным программам для нестандартных, в том числе нелинейных методов расчета оснований фундаментов и конструкций зданий и сооружений"
,,EAB,,,Проведение исследований гидрогеологических свойств,,"СП 11-103-97
СБЦ",,,
,,EAC,,,Проведение исследований в стационарных условиях,,"СП 11-103-97
СБЦ",,,
,,EAD,,,Оценка состояния возводимых объектов,,"СП 11-103-97
СБЦ",,,
,EB,,,,Проведение лабораторных исследований,,"СП 11-103-97
СБЦ",По виду работ,,
,,EBA,,,Проведение лабораторных исследований грунтов,,"СП 11-103-97
СБЦ",,,
,,EBB,,,Проведение лабораторных исследований подземных вод,,"СП 11-103-97
СБЦ",,,
,,EBC,,,Проведение лабораторных исследований поверхностных вод,,"СП 11-103-97
СБЦ",,,
,,EBD,,,Проведение лабораторных химико-аналитические исследований ,,"СП 11-103-97
СБЦ",,,
,,EBE,,,Проведение лабораторных исследований механических свойств грунтов с определением характеристик для конкретных схем расчета оснований фундаментов,,"СП 11-103-97
СБЦ",,,
,EC,,,,Проведение инженерно-экологических исследований,,"СП 11-103-97
СБЦ",По виду работ,,
,,ECA,,,Проведение исследования загрязненности атмосферного воздуха,,"СП 11-103-97
СБЦ",,,
,,ECB,,,Проведение исследования загрязненности почв,,"СП 11-103-97
СБЦ",,,
,,ECC,,,Проведение исследования загрязненности грунтов,,"СП 11-103-97
СБЦ",,,
,,ECD,,,Проведение исследования загрязненности поверхностных вод,,"СП 11-103-97
СБЦ",,,
,,ECE,,,Проведение исследования загрязненности подземных вод,,"СП 11-103-97
СБЦ",,,
,,ECF,,,Проведение исследования радиационной обстановки,,"СП 11-103-97
СБЦ",,,
,,ECG,,,Проведение газогеохимических исследований,,"СП 11-103-97
СБЦ",,,
,,ECH,,,Проведение исследования физических воздействий,,"СП 11-103-97
СБЦ",,,
,,,,ECH010,Исследование уровня шума,,"СП 11-103-97
СБЦ",,,
,,,,ECH020,Исследование электромагнитного поля,,"СП 11-103-97
СБЦ",,,
,,,,ECH030,Исследование вибраций,,"СП 11-103-97
СБЦ",,,
,,ECJ,,,Проведение исследования растительности,,"СП 11-103-97
СБЦ",,,
,,ECK,,,Проведение исследования животного мира,,"СП 11-103-97
СБЦ",,,
,,ECL,,,Оценка фитопродуктивности растительных сообществ,,"СП 11-103-97
СБЦ",,,
,,ECM,,,Проведение почвенных исследований,,"СП 11-103-97
СБЦ",,,
,,ECN,,,Проведение эколого-гидрогеологического исследования,,"СП 11-103-97
СБЦ",,,
,,ECP,,,Проведение исследования радиационной обстановки на территории,,"СП 11-103-97
СБЦ",,,
,,ECQ,,,Проведение санитарных химических исследований почвы и грунта,,"СП 11-103-97
СБЦ",По виду работ,,
,,,ECQA,,Выявление наличия содержания органических соединений в пробах,,"СП 11-103-97
СБЦ",,,
,,,ECQB,,Оценка содержания органических соединений в пробах,,"СП 11-103-97
СБЦ",,,
,,,ECQC,,Выявление наличия содержания соединений тяжелых металлов в пробах,,"СП 11-103-97
СБЦ",,,
,,,ECQD,,Оценка содержания соединений тяжелых металлов в пробах,,"СП 11-103-97
СБЦ",,,
,,ECR,,,Проведение санитарно-бактериологического исследования почвы и грунта,,"СП 11-103-97
СБЦ",,,
,,ECS,,,Проведение санитарно-паразитологического исследования почвы и грунта,,"СП 11-103-97
СБЦ",,,
,,ECT,,,Проведение медико-биологического исследования,,"СП 11-103-97
СБЦ",,,
,,ECU,,,Проведение гидробиологического исследования,,"СП 11-103-97
СБЦ",,,
,,ECV,,,Проведение исследования объектов культурного наследия,,"СП 11-103-97
СБЦ",,,
,,ECW,,,Проведение эколого-геохимического исследования с применением геофизических методов,,"СП 11-103-97
СБЦ",,,
,,ECX,,,Проведение медико-биологического исследования территории,,"СП 11-103-97
СБЦ",,,
,,ECY,,,Проведение социально-экономического исследования,,"СП 11-103-97
СБЦ",,,
,,ECZ,,,Проведение санитарно-эпидемиологического исследования,,"СП 11-103-97
СБЦ",,,
,ED,,,,Проведение инженерно-геологических исследований,,"СП 11-103-97
СБЦ",По виду работ,,
,,EDA,,,Проведение гидрогеологических исследований,,"СП 11-103-97
СБЦ",,,
